Senator,State,Term
Janine Haines,South Australia,1977-1978 ; 1981-1990
Don Chipp,Victoria,1978-1986
Colin Mason,New South Wales,1978-1987
Michael Macklin,Queensland,1981-1990
John Siddons,Victoria,1981-1983 ; 1985-1986 ( 1987 )
Jack Evans,Western Australia,1983-1985
David Vigor,South Australia,1985-1987
Norm Sanders,Tasmania,1985-1990
Janet Powell,Victoria,1986-1992 ( 1993 )
John Coulter,South Australia,1987-1995
Paul McLean,New South Wales,1987-1991
Jean Jenkins,Western Australia,1987-1990
Vicki Bourne,New South Wales,1990-2002
Sid Spindler,Victoria,1990-1996
Cheryl Kernot,Queensland,1990-1997
Robert Bell,Tasmania,1990-1996
Karin Sowada,New South Wales,1991-1993
John Woodley,Queensland,1993-2001
Meg Lees,South Australia,1990-2002 ( 2005 )
Natasha Stott Despoja,South Australia,1995-2008
