Call letters,Channel,Network ( s ),City and state
KWBA-TV,21 PSIP 58,The CW,"Sierra Vista , Arizona"
KWBM,31 PSIP 31,31.1 Daystar 31.2 Fox,"Harrison , Arkansas"
KWBN,26 PSIP 44,Daystar Television Network,"Honolulu , Hawaii"
KWBQ,29 PSIP 19,The CW,"Santa Fe , New Mexico"
KWCH-DT,19 PSIP 12,CBS,"Hutchinson , Kansas"
KWCM-TV,10 PSIP 10,PBS,"Appleton , Minnesota"
KWDK,42 PSIP 56,Daystar Television Network,"Tacoma , Washington"
KWES-TV,9 PSIP 9,NBC,"Odessa , Texas"
KWET,8 PSIP 12,PBS,"Cheyenne , Oklahoma"
KWEX-DT,24 PSIP 41,Univision,"San Antonio , Texas"
KWGN-TV,34 PSIP/cable 2,The CW,"Denver , Colorado"
KWHB,16 PSIP 47,World Harvest Television,"Tulsa , Oklahoma"
KWHD,23 PSIP 14,World Harvest Television,"Hilo , Hawaii"
KWHE,31 PSIP 14,World Harvest Television,"Honolulu , Hawaii"
KWHY-TV,42 PSIP 22,Spanish Independent,"Los Angeles , California"
KWKB,25 PSIP 20,The CW,"Iowa City , Iowa"
KWKS,19 PSIP 19,PBS,"Colby , Kansas"
KWKT-TV,44 PSIP 44,Fox / MyNetworkTV,"Waco , Texas"
KWNB-TV,6 PSIP 6,6.1 ABC 6.2 Fox,"Hayes Center , Nebraska"
KWOG,29 PSIP 57,Daystar,"Springdale , Arkansas"
