Date,Opponent,Opp Rank,Result,Venue,Event
2017-11-18,Chile,24,W 42-11,"Hong Kong Stadium , Hong Kong",2017 Cup of Nations
2017-11-14,Kenya,30,W 31-10,"King 's Park , Hong Kong",2017 Cup of Nations
2017-11-10,Hong Kong,22,W 16-13,"King 's Park , Hong Kong",2017 Cup of Nations
2017-06-18,Namibia,19,W 31-10,"Estadio Charrúa , Montevideo",2017 World Rugby Nations Cup
2017-06-14,Uruguay,21,L 29-32,"Estadio Charrúa , Montevideo",2017 World Rugby Nations Cup
2017-06-10,Argentina XV,n/a,W 39-38,"Estadio Charrúa , Montevideo",2017 World Rugby Nations Cup
2017-03-19,Germany,24,W 52-25,"Sochi Central Stadium , Sochi",2017 Rugby Europe Championship
2017-03-12,Georgia,12,L 14-28,"Dinamo Arena , Tbilisi",2017 Rugby Europe Championship
2017-03-04,Romania,16,L 10-30,"Sochi Central Stadium , Sochi",2017 Rugby Europe Championship
2017-02-18,Belgium,26,W 25-18,"King Baudouin Stadium , Brussels",2017 Rugby Europe Championship
2017-02-11,Spain,22,L 6-16,"Estadio Nacional Complutense , Madrid",2017 Rugby Europe Championship
