#,Song,Artist,Country of origin
1,Little Lion Man,Mumford & Sons,United Kingdom
2,Parlez Vous Francais ?,Art vs. Science,Australia
3,Chase That Feeling,Hilltop Hoods,Australia
4,Lisztomania,Phoenix,France
5,Broken Leg,Bluejuice,Australia
6,Bulletproof,La Roux,United Kingdom
7,Coin Laundry,Lisa Mitchell,Australia
8,Not Fair,Lily Allen,United Kingdom
9,Uprising,Muse,United Kingdom
10,Dog Days Are Over,Florence and the Machine,United Kingdom
11,Heads Will Roll,Yeah Yeah Yeahs,United States
12,Bonkers,Dizzee Rascal,United Kingdom
13,1901,Phoenix,France
14,Sticks ' n ' Stones,Jamie T,United Kingdom
15,Home,Edward Sharpe and the Magnetic Zeros,United States
16,Heavy Cross,Gossip,United States
17,Fire,Kasabian,United Kingdom
18,Shooting Stars,Bag Raiders,Australia
19,Undisclosed Desires,Muse,United Kingdom
20,Sleepyhead,Passion Pit,United States
