Name,Year,School,Degree,Notability
Milton Babbitt,1935,ARTS,B.A,1986 MacArthur Fellow
George Perle,1956,GSAS,Ph.D,1974 MacArthur Fellow
Charles Simic,1966,ARTS,B.A,1983 MacArthur Fellow
Michelle Dorrence,2001,Gallatin,B.A,2015 MacArthur Fellow
Mimi Lien,2003,TSOA,M.F.A,2015 MacArthur Fellow
Basil Twist,2015,TSOA,,2015 MacArthur Fellow
Majora Carter,1997,TSOA,M.F.A,2005 MacArthur Fellow
Branden Jacobs-Jenkins,2007,TSOA,M.A,2016 MacArthur Fellow
Sylvia A . Law,1968,Law,J.D,1983 MacArthur Fellow
Annie Baker,2003,TSOA,B.F.A,2017 MacArthur Fellow
Gabriel Victora,2011,GSAS,Ph.D,2017 MacArthur Fellow
