Title,Developer,Publisher,Release date N. America,Release date Europe
Animal Crossing : City Folk,Nintendo EAD,Nintendo,"November 16 , 2008","December 5 , 2008"
Endless Ocean 2 : Adventures of the Deep,Arika,Nintendo,"February 22 , 2010","February 5 , 2010"
NHL 2K10,Visual Concepts,2K Sports,"September 15 , 2009","October 23 , 2009"
NHL 2K11,Visual Concepts,2K Sports,"August 24 , 2010","October 8 , 2010"
The Conduit,High Voltage Software,Sega,"June 23 , 2009",
Uno,Gameloft,Gameloft,"January 25 , 2010","November 6 , 2009"
NBA 2K10,Visual Concepts,2K Sports,"November 9 , 2009","November 27 , 2009"
NBA 2K11,Visual Concepts,2K Sports,"October 5 , 2010","October 8 , 2010"
Monster Hunter Tri,Capcom,Capcom ( NA ) Nintendo ( EU ),"April 20 , 2010","April 23 , 2010"
Tetris Party Deluxe,Hudson Soft,Majesco Entertainment,"June 1 , 2010","September 3 , 2010"
Jeopardy !,THQ,THQ,"November 2 , 2010",
Wheel of Fortune,THQ,THQ,"November 2 , 2010","November 19 , 2010"
Mix Superstar,Digital Leisure,Digital Leisure,"November 8 , 2010",
