Rank,Combined Statistical Area,State ( s ),Population ( 2017 est . )
1,Washington-Baltimore-Arlington,DC - MD - VA - WV - PA,"9,764,315"
2,Dallas-Fort Worth,TX,"7,846,293"
3,Houston-The Woodlands-Baytown,TX,"7,093,190"
4,Miami-Fort Lauderdale-Port St. Lucie,FL,"6,828,241"
5,Atlanta-Athens-Clarke County-Sandy Springs,GA,"6,555,956"
6,Orlando-Deltona-Daytona Beach,FL,"3,284,198"
7,Charlotte-Concord,NC - SC,"2,684,121"
8,Cincinnati-Wilmington-Maysville,OH - KY - IN,"2,238,265"
9,Raleigh-Durham-Chapel Hill,NC,"2,199,459"
10,Nashville-Davidson-Murfreesboro,TN,"2,027,489"
11,Virginia Beach-Norfolk,VA - NC,"1,829,195"
12,Greensboro-Winston-Salem-High Point,NC,"1,663,532"
13,Jacksonville-St. Marys-Palatka,FL - GA,"1,631,488"
14,Louisville/Jefferson County-Elizabethtown-Madison,KY - IN,"1,522,112"
15,New Orleans-Metairie-Hammond,LA - MS,"1,510,162"
16,Oklahoma City-Shawnee,OK,"1,455,935"
17,Greenville-Spartanburg-Anderson,SC,"1,460,036"
18,Memphis-Forrest City,TN - MS - AR,"1,374,190"
19,Birmingham-Hoover-Talladega,AL,"1,364,062"
20,Tulsa-Muskogee-Bartlesville,OK,"1,160,612"
