Year,Athlete,Country,Time ( h : m : s )
1979,Jukka Toivola,Finland,2:17:35
1980,Jeff Wells,United States,2:15:49
1981,Bill Rodgers,United States,2:13:26
1982,Kjell-Erik Ståhl,Sweden - Hässleholms AIS,2:19:20
1983,Hugh Jones,United Kingdom,2:11:37
1984,Agapius Masong,Tanzania,2:13:47
1985,Tommy Persson,Sweden - Heleneholms IF,2:17:18
1986,Kjell-Erik Ståhl,Sweden - Enhörna IF,2:12:33
1987,Kevin Forster,United Kingdom,2:13:52
1988,Suleiman Nyambui,Tanzania,2:14:26
1989,Dave Clarke,United Kingdom,2:13:34
1990,Simon Naali,Tanzania,2:13:04
1991,Åke Eriksson,Sweden - Hässelby SK,2:12:38
1992,Hugh Jones,United Kingdom,2:15:58
1993,Daniel Mbuli,South Africa,2:16:30
1994,Tesfaye Bekele,Ethiopia,2:14:06
1995,Åke Eriksson,Sweden - Hässelby SK,2:14:29
1996,Tesfaye Bekele,Ethiopia,2:15:05
1997,Benson Masya,Kenya,2:17:22
1998,Martin Ojuko,Kenya,2:16:12
