Original NFL team,Player,Pos,College,Conf
Atlanta Falcons,Arthur Cox,TE,Texas Southern,SWAC
Atlanta Falcons,David Frye,LB,Purdue,Big Ten
Baltimore Colts,John Miller,LB,Mississippi State,SEC
Buffalo Bills,Joe Dufek,QB,Yale,Ivy
Chicago Bears,Dennis McKinnon,WR,Florida State,Ind
Cleveland Browns,Roger Ruzek,K,Weber State,Big Sky
Dallas Cowboys,Raul Allegre,K,Texas,SWC
Dallas Cowboys,Bill Bates,S,Tennessee,SEC
Dallas Cowboys,Broderick Thompson,OT,Kansas,Big Eight
Dallas Cowboys,Mark Tuinei,DT,Hawaii,WAC
Dallas Cowboys,John Warren,P,Tennessee,SEC
Detroit Lions,Jeff Chadwick,WR,Grand Valley State,GLIAC
Houston Oilers,Brian Sochia,DT,Northwestern Oklahoma State,OIC
Los Angeles Rams,Mike McDonald,LS,USC,Pac-10
New England Patriots,Ed Reynolds,LB,Virginia,ACC
New England Patriots,Clarence Weathers,WR,Delaware State,MEAC
New York Giants,Zeke Mowatt,TE,Florida State,Ind
New York Jets,Ted Banker,G,Southeast Missouri State,MIAA
Seattle Seahawks,Paul Moyer,S,Arizona State,Pac-10
Philadelphia Eagles,Major Everett,FB,Mississippi College,Gulf South
