Team,Coach,Captain,Kit manufacturer,Shirt sponsor
Arema Cronus,Suharno,Ahmad Bustomi,Joma,Anker Sport
Barito Putera,Salahudin,Mekan Nasyrow,SPECS,Hasnur Group
Gresik United,Alfredo Vera,Otávio Dutra,Joma,Phonska
Persepam MU,Arcan Iurie,Zaenal Arief,Joma,Carrefour
Mitra Kukar,Stefan Hansson,Zulkifli Syukur,Mitre,Petrona
Pelita Bandung Raya,Dejan Antonić,Gaston Castaño,Mitre,
Persebaya ISL ( Bhayangkara ),Rahmad Darmawan,Greg Nwokolo,SPECS,Avian Brands
Persela Lamongan,Eduard Tjong,Choirul Huda,Diadora,So Nice
Perseru Serui,Vacant,Liston Fonataba,TBA,Bank Papua
Persib Bandung,Djajang Nurdjaman,Firman Utina,League,Achilles ( home kit ) Corsa ( away kit ) Bank BJB ( homeaway kit )
Persiba Balikpapan,Liestiadi,Patrice Nzekou,Injers,Philips Bankaltim
Persiba Bantul,Sajuri Syahid,Ezequiel González,Reds !,Bantul
Persija Jakarta,Benny Dollo,Fabiano Beltrame,League,K-Vision
Persijap Jepara,Yudi Suryata,Evaldo Silva,Eureka,Bank Jateng
Persik Kediri,Hartono Ruslan,Kusnul Yuli,Joma,
Persipura Jayapura,Jacksen F. Tiago,Boaz Solossa,SPECS,Freeport Indonesia
Persiram Raja Ampat,Gomes de Olivera,Kubay Quaiyan,,Fourking Mandiri
Persita Tangerang,Fabio Oliveira,Maman,Mitre,Samudera Chandra Persada Indonesia
PSM Makassar,Rudi Keltjes,Ponaryo Astaman,Nike,Semen Bosowa
Putra Samarinda,Nil Maizar,Muhammad Roby,Joma,Bankaltim
