Team,Kit maker,Shirt sponsor,UEFA Fair Play ( avg . pts . )
Bodø/Glimt,Diadora,Nordlandsbanken,"7,82"
Brann,Kappa,Sparebanken Vest,"7,79"
Fredrikstad,Umbro,Carnegie,"7,77"
Lillestrøm,Diadora,Nordea,"7,70"
Lyn,Puma,Carrot Communications,"7,53"
Molde,Umbro,Sparebanken Møre,"7,96"
Odd Grenland,Adidas,Skagerak Energi,"7,97"
Rosenborg,Adidas,REMA 1000,"8,12"
Sandefjord,Puma,Jotun,"7,63"
Stabæk,Puma,Fornebu - nytt liv,"7,93"
Start,Umbro,Sparebanken Sør,"7,73"
Strømsgodset,Nike,Sparebanken Drammen,"7,84"
Tromsø,Puma,Sparebanken Nord-Norge,"7,92"
Viking,Adidas,Lyse Energi,"7,59"
Vålerenga,Kappa,Hafslund,"7,93"
Aalesund,Umbro,Sparebanken Møre,"7,72"
