Year,Country,Title,Director
1970,Italy West Germany,The Garden of the Finzi-Continis,Vittorio De Sica
1970,Yugoslavia,Hranjenik,Vatroslav Mimica
1972,United States,The Day the Clown Cried,Jerry Lewis
1974,United Kingdom,QB VII,Tom Gries
1974,Italy,The Night Porter,Liliana Cavani
1974,United Kingdom West Germany,The Odessa File,Ronald Neame
1975,East Germany,Jacob the Liar,Frank Beyer
1975,United States,The Hiding Place,James F. Collier
1975,Italy,Seven Beauties,Lina Wertmüller
1975,United States,The Man in the Glass Booth,Arthur Hiller
1976,United States,Marathon Man,John Schlesinger
1976,Spain,Voyage of the Damned,Stuart Rosenberg
1977,Italy,L'ultima orgia del III Reich,Cesare Canevari
1978,United States,Holocaust,Marvin J. Chomsky
1978,Yugoslavia,Okupacija u 26 slika,Lordan Zafranovic
1979,West Germany,Baranski,Werner Masten
1979,West Germany,David,Peter Lilienthal
1979,United States,The House on Garibaldi Street,Peter Collinson
