Team,City,Arena,Capacity,Founded,Head coach
Cáceres Patrimonio de la Humanidad,Cáceres,Multiusos Ciudad de Cáceres,"6,500",2007,Carlos Frade
CB Breogán,Lugo,Pazo Provincial Dos Deportes,"6,500",1966,Lisardo Gómez
Club Melilla Baloncesto,Melilla,Pabellón Javier Imbroda Ortiz,"3,800",1991,Gonzalo García de Vitoria
Club Ourense Baloncesto,Ourense,Pazo dos Deportes Paco Paz,"5,000",1979,Rafa Sanz
FC Barcelona Regal B,Barcelona,Palau Blaugrana,"7,500",1926,Borja Comenge
Força Lleida CE,Lleida,Pavelló Barris Nord,"6,100",2012,Joaquín Prado
Ford Burgos,Burgos,Polideportivo El Plantío,"3,150",1997,Andreu Casadevall
Knet,Logroño,Palacio de los Deportes,"3,851",1967,Jesús Sala
Leyma Natura Básquet Coruña,A Coruña,Polideportivo de Riazor,"3,500",1995,Antonio Pérez
Lobe Huesca,Huesca,Palacio Municipal de Huesca,"5,018",1977,Quim Costa
Lucentum Alicante,Alicante,Centro de Tecnificación de Alicante,"5,425",1994,Rubén Perelló
Palencia Baloncesto,Palencia,Pabellón Marta Domínguez,"1,806",1979,Natxo Lezkano
Planasa Navarra,Pamplona,Polideportivo Anaitasuna,"3,000",2006,Ángel Jareño
River Andorra,Andorra La Vella,Poliesportiu d'Andorra,"1,784",1970,Joan Peñarroya
