Name,Show,Studio,Notes
Daffy Duck,Looney Tunes,Warner Bros,A black duck with a white neck-ring and orange legs and beak . His name is derived from the fact that he behaves in a daffy way
Daisy Duck,Donald Duck,Disney,"Has large eyelashes and ruffled tail feathers to suggest a skirt . She is often seen wearing a hair bow , blouse , and shoes . Daisy usually shows a strong affinity towards Donald , although she is often characterized as being more sophisticated than him"
Danger Duck,Loonatics Unleashed,Warner Bros,A Descendant of Daffy Duck
Darkwing Duck / Drake Mallard,Darkwing Duck,Disney,The title character and superhero of the series
Della Duck,DuckTales,Disney,"The sister of Donald Duck and the mother of Huey , Dewey , and Louie ; an adventurer whose absence serves as an overarching mystery in the series"
Dewey Duck,Donald Duck,Disney,"One of three of Donald Duck 's nephews , Dewey dresses in blue"
Donald Duck,Donald Duck,Disney,"Donald is an anthropomorphic white duck with a yellow-orange bill , legs , and feet . He typically wears a blue sailor suit with a cap and a black or red bow tie . Donald is most famous for his semi-intelligible speech and his mischievous and irritable personality"
"Dol , Mee , Rae and Toe","Leafie , a Hen into the Wild",Myung Films,"Four small white ducks who are two pairs of twins ( Dol and Toe being one pair of twins and Mee and Rae being the other pair of twins ) . They are clumsy and weird and like singing songs about themselves and like following the leader . After discovering Rooster 's comb was a fake , Mee took it and played around with it"
Doris the Duck,64 Zoo Lane,"Zoo Lane Productions , Ltd","A yellow duck who is friends with Kevin the Crocodile and Toby the Turtle . Her attitude in character can either be bossy or irresponsible . Sometimes , Doris can annoy other animals such as making duck quacks"
Duck,Almost Naked Animals,9 Story Media Group,A Tan-colored duck who does every random job and tries anything to get it done
Duck,Little Bear,Nelvana,"A domesticated duck with yellow feathers , an orange beak and a long neck . Slow and smart at the same time , Duck is one who gets herself into comical situations"
Duck,Sarah & Duck,Karrot Entertainment,"A seemingly domesticated duck styled loosely after a wild mallard . Excitable and occasionally bad-tempered , Duck accompanies Sarah on her adventures . Unlike a real mallard , Duck suffers no adverse effects from bread and bread products , which he consumes with considerable gusto"
Ducks,Thumbelina,Don Bluth Productions,"Ducks that sing the song Thumbelina in the beginning of the film along with the other farm animals , most notably the one female duck who sings the first line . The ducks are seen in later in the film around the part where Thumbelina 's mother starts to sing Soon ( Reprise )"
Duck,Word World,The Learning Box,"A yellow duck who is shaped like the word Duck , similarly to how the other animals are shaped like the words they represent . He is one of the two main protagonists and is Frog 's friend"
The Duck Brothers,Courage the Cowardly Dog,Wang Film,"Three brother ducks from outer space . Their names are Donnie , Clyde and Payne . One of them is always laying eggs even though he is male"
