Year,Winner,Jockey,Trainer,Owner,Time
2018,Mia Mischief,Ricardo Santana Jr,Steve Asmussen,Heiligbrodt Racing Stable,1:21.84
2017,Benner Island,Javier Castellano,Brad H. Cox,"Shortleaf Stable , Inc",1:24.28
2016,Carina Mia,Julien Leparoux,William I. Mott,Three Chimneys Farm,1:21.74
2015,Promise Me Silver,Robby Albarado,W. Bret Calhoun,Robert G. Luttrell,1:22.90
2014,Fiftyshadesofgold,Mike E. Smith,W. Bret Calhoun,"Estate of C. Scharbauer , Jr",1:22.50
2013,So Many Ways,Garrett Gomez,Thomas M. Amoss,Maggi Moss,1:22.84
2012,Contested,Martin Garcia,Bob Baffert,Jill Baffert,1:21.29
2011,Victoria 's Wildcat,Kent Desormeaux,Bob Hess Jr,Bob & Victoria Bayer/Metcalf,1:23.03
2010,Buckleupbuttercup,Julien Leparoux,Eddie Kenneally,"Avalon Farms , Inc",1:29.49
2009,Four Gifts,Shaun Bridgmohan,Steve Asmussen,Heligbrodt Stable,1:30.94
2008,Game Face,John Velazquez,Todd A. Pletcher,Zabeel Racing,1:28.44
2007,Silverinyourpocket,Calvin Borel,Helen Pitts,M/M R. David Randal,1:30.14
2006,Joint Effort,Edgar Prado,Dale Romans,Donald R. Dizney,1:28.18
2005,Seek a Star,Jorge F. Chavez,John T. Ward,John C. Oxley,1:28.75
2004,Friendly Michelle,Alex Solis,Bob Baffert,M/M Ed Friendly,1:28.26
2003,Final Round,Jerry Bailey,George R. Arnold II,"G. Watts Humphrey , Jr",1:22.13
2002,Cashier 's Dream,Donnie Meche,Steve Asmussen,Heligbrodt Racing,1:24.83
2001,Caressing,Pat Day,David R. Vance,Carl F. Pollard,1:22.90
2000,Roxelana,Larry Melancon,William Huffman,William Landes III,1:21.97
1999,Sapphire n ' Silk,Pat Day,Dallas Stewart,William Carl,1:23.85
