Name,Status,Homebase,Aircrafttype,History,Notes
Berufsfliegerkorps,active,Dübendorf Air Base HQ,all AC types,,former UeG Überwachungsgeschwader
Lufttransportdienst des Bundes,active,Bern Airport,"Cessna Citation Excel , DHC-6 , B350 , B1900 , Falcon 900 , EC635","Learjet 35 , Falcon 50 , Eurocopter Dauphin",
Pilotenschule,active,Emmen Air Base,Pilatus PC-21,"F-5F , BAE Hawk , DH-100 Vampire T",
Drohnenstaffel 7,active,Emmen Air Base,ADS-95,,
GRD Armasuisse,active,Emmen Air Base,"Pilatus PC-6 Turbo-Porter , Pilatus PC-12 , Diamond DA42 Aurora Centauer","Hawker Hunter , Mirage IIIC , F-5E ( J-3001 )",Flight test Service
Patrouille Suisse,active,Emmen Air Base,F-5E,Hawker Hunter AFB Dübendorf,Created from parts of the Fliegerstaffel 1
PC-7 Team,active,Dübendorf Air Base,Pilatus PC-7,,
MHR Militär-Helikopter-Rettungsdienst,Inactive,,,Alouette III,"SAR , Today made by the civil Rega ( air rescue )"
ADDC,active,Dübendorf Air Base,,,"Air Force HQ , Air Operations Centre , Air Defence & Directions Center"
Parachute Reconnaissance Company 17,active,Locarno,MT-1,,Para reccon
