Name,Chartered,Institution,Location
Iota Alpha,"December 11 , 1971",James Madison University,"Harrisonburg , Virginia"
Iota Beta,1972,"Trenton , New Jersey City-Wide","Trenton , New Jersey"
Iota Gamma,1972,Texas,Texas
Iota Delta,1972,Henderson State University,"Arkadelphia , Arkansas"
Iota Epsilon,1972,Eureka College,"Eureka , Illinois"
Iota Zeta,1972,Illinois Wesleyan University,"Bloomington , Illinois"
Iota Eta,"April 22 , 1972",Texas Christian University,"Fort Worth , Texas"
Iota Theta,1972,Louisiana State University,"Baton Rouge , Louisiana"
Iota Iota,"May 7 , 1972",Catholic University of America,"Washington , D.C"
Iota Kappa,1972,Arizona State University,"Tempe , Arizona"
Iota Lambda,1972,University of Alabama at Birmingham,"Birmingham , Alabama"
Iota Mu,1972,Northwestern State University,"Natchitoches , Louisiana"
Iota Nu,"April 23 , 1972","Mobile , Alabama City-Wide ( University of South Alabama , Spring Hill College , University of Mobile )","Mobile , Alabama"
Iota Xi,1972,California University of Pennsylvania,"California , Pennsylvania"
Iota Omicron,1972,University of Central Oklahoma,"Edmond , Oklahoma"
Iota Pi,1972,Florida International University & Johnson & Wales University,"Miami , Florida"
Iota Rho,"December 2 , 1972",University of North Carolina at Charlotte,"Charlotte , North Carolina"
Iota Sigma,1973,Mercer University,"Macon , Georgia"
Iota Tau,1973,Middle Tennessee State University,"Murfreesboro , Tennessee"
Iota Upsilon,1973,Austin Peay State University,"Clarksville , Tennessee"
