Inscription,Location,Life and death
HERE LIVED LEO BRUMMEL BORN 1890 DEPORTED 1943 TO THERESIENSTADT MURDERED 1944 IN AUSCHWITZ,Klatovská tř . 26/140 49°43′50″N 13°22′11″E / 49.730635°N 13.369646°E / 49.730635 ; 13.369646 ( Stolpersteine for Leo Brummel and Eliska and Gertruda Brummelová ),"Brummel , Leo Leo Brummel was born on 10 March 1890 in Klatovy , where he and his family lived until 1905 . His parents were Jenny ( also Zheni ) and Moritz Brummel ( 1852-1927 ) . He had two brothers , Hans ( also Jan ) and Kurt ( who died in 1933 ) , and a sister , Gretl ( also Markéta , born on 4 July 1887 , later married to Leo Eisenschimmel ) . His father was a tanner and he became one too . He participated in WWI and was captured in Russia . After coming back to Pilsen , he worked as one of the owners of the Brummel , Bloch & Waldstein tannery . He and his brother Hans married two Liebstein sisters , Gertruda and Johanna ( also Jana ) . Leo Brummel and his wife had two daughters , Eva ( born 1923 ) and Eliska ( born 1926 ) . After the company was closed during the depression he worked in Sušice . His daughter Eva could emigrate to Great Britain in July 1939 with a Winton Train . The last residence of the family before deportation was in Pilsen . For unknown reasons the Brummel family was not summoned to any of the Pilsen transports . Instead , Leo Brummel , his wife and their younger daughter were all deported from Prague on 5 July 1943 with transport De to Theresienstadt concentration camp . His transport number was 9 of 604 . After three months there they were all deported on 6 September 1943 to Auschwitz concentration camp . His transport number was 220 of 2484 . The whole family was murdered by the Nazi regime during the mass liquidation of the so-called Terezín Family Camp on 8 March 1944 . His sister was murdered in Auschwitz too . His brother Hans and his sister-in-law Johanna were also deported to Auschwitz , but could survive . His daughter Eva stayed in England , married , had two children and four grandchildren . A gravestone for the Brummel family has been placed at the Pilsen cemetery"
HERE LIVED ELIŠKA BRUMMELOVÁ BORN 1926 DEPORTED 1943 TO THERESIENSTADT MURDERED 1944 IN AUSCHWITZ,Klatovská tř . 26/140 49°43′50″N 13°22′11″E / 49.730635°N 13.369646°E / 49.730635 ; 13.369646 ( Stolpersteine for Leo Brummel and Eliska and Gertruda Brummelová ),"Brummelová , Eliška Eliška Brummelová , also Lilky , Lilka , Lilly or Lili , was born on 14 March 1926 . Her parents were Leo Brummel and Gertruda née Liebsteinová . She had a sister , Eva ( born 1923 ) . The girls had a nanny called Beta who lived with them . After the destruction of Czechoslovakia and the takeover of power by the Nazi regime , the parents of Eva and Eliška had been ″weighing up the opportunity of their children 's emigration for a long time . Finally they let the decision up to them . Eva did n't hesitate to leave , Lilly did not want to go away and in fact her mother was glad that at least one of her daughters would stay.″ Her sister emigrated to Great Britain in July 1939 with a Winton Train . Eliška and her aunt Jana were sent to work as loggers in Křivoklátsko . The last residence of the family before deportation was in Pilsen . Eliška Brummelová and her parents were all deported on 5 July 1943 with transport De from Prague th Theresienstadt concentration camp . Her transport number was 10 of 604 . After three months there they were all deported on 6 September 1943 to Auschwitz concentration camp . Her transport number was 218 of 2484 . The whole family was murdered by the Nazi regime during the mass liquidation of the so-called Terezín Family Camp on 8 March 1944"
HERE LIVED GERTRUDA BRUMMELOVÁ BORN 1899 DEPORTED 1943 TO THERESIENSTADT MURDERED 1944 IN AUSCHWITZ,Klatovská tř . 26/140 49°43′50″N 13°22′11″E / 49.730635°N 13.369646°E / 49.730635 ; 13.369646 ( Stolpersteine for Leo Brummel and Eliska and Gertruda Brummelová ),"Brummelova , Gertruda Gertruda Brummelova née Liebsteinová was born on 22 September 1899 . Her parents were Wilhelm Liebstein and Hedwig Hedda née Beständig . She had two sisters , Marianne and Johanna . She was married to Leo Brummel , a tanner , and her sister Johanna was married to Hans Brummel , Leo 's brother . The couple had two daughters , Eva ( born 1923 ) and Eliska ( born 1926 ) . The last residence of the family before deportation was in Pilsen . Eva could emigrate in July 1939 to Great Britain with a Winton Train . Gertruda Brummelová , her husband and their younger daughter were all deported on 5 July 1943 with transport De from Prague th Theresienstadt concentration camp . Her transport number was 11 of 604 . After three months there they were all deported on 6 September 1943 to Auschwitz concentration camp . Her transport number was 219 of 2484 . The whole family was murdered by the Nazi regime during the mass liquidation of the so-called Terezín Family Camp on 8 March 1944 . Also her mother was killed in the course of the Shoah . Her daughter Eva stayed in England , married , had two children and four grandchildren"
HERE LIVED EMIL EHRLICH BORN 1923 DEPORTED 1942 TO THERESIENSTADT MURDERED 1944 IN AUSCHWITZ,Bendova 1172/5 49°44′27″N 13°22′14″E / 49.740932°N 13.370522°E / 49.740932 ; 13.370522 ( Stolpersteine for Emil and Josef Ehrlich and Hermina Ehrlichová ),"Ehrlich , Emil Emil Ehrlich was born on 24 December 1923 . His parents were Hermína and Josef Ehrlich , they ran two linen shops . As a boy , Emil suffered from several chronic diseases . A Czech remembrance project describes him in this way : ″He was quiet and unostentatious and had neither many friends nor enemies . His classmates quite liked him and saw him as a shy , physically weak , but still persistent boy.″ One day at the beginning of the school year 1939/1940 , the school was visited by Gestapo . Eyewitnesses gave detailed reports how Emil was excluded from school on that day : ″Some men standing in the door made Emil pack his things and leave the school forever″ . Thereafter he worked as a labourer . The last residence of the family before deportation was in Pilsen . On 26 January 1942 , Emil Ehrlich and his parents were deported with transport T to Theresienstadt concentration camp . His transport number was 115 of 609 . After more than two years in Theresienstadt , the three family members were deported with transport Eb to Auschwitz-Birkenau concentration camp on 18 May 1944 . His transport number was 2173 of 2,500 . In Auschwitz-Birkenau they were interned at the so-called Terezín Family Camp . All three were murdered by the Nazi regime"
HERE LIVED JOSEF EHRLICH BORN 1893 DEPORTED 1944 TO THERESIENSTADT MURDERED 1944 IN AUSCHWITZ,Bendova 1172/5 49°44′27″N 13°22′14″E / 49.740932°N 13.370522°E / 49.740932 ; 13.370522 ( Stolpersteine for Emil and Josef Ehrlich and Hermina Ehrlichová ),"Ehrlich , Josef Josef Ehrlich was born on 29 August 1893 . He was married to Hermína ( see below ) . The couple had one son , Emil ( see above ) . They ran two linen shops , one on Sedláčkova , the other one on Klatovská , not far from their home in Bendova street . After the invasion of the Nazi troops , both shops were confiscated and their son was banned from school . The last residence of the family before deportation was in Pilsen . On 26 January 1942 , Josef Ehrlich , his wife and their son were deported with transport T to Theresienstadt concentration camp . His transport number was 117 of 609 . After more than two years in Theresienstadt , the three family members were deported with transport Eb to Auschwitz concentration camp on 18 May 1944 . His transport number was 833 of 2,500 . All three were murdered by the Nazi regime . On transport T was also Amálie Ehrlichová ( born 28 June 1894 , transport number 114 ) who was deported to Izbica Ghetto in March 1942 and was murdered there . It has not been clarified if and how she was related to Josef Ehrlich"
HERE LIVED HERMÍNA EHRLICHOVÁ BORN 1896 DEPORTED 1942 TO THERESIENSTADT MURDERED 1944 IN AUSCHWITZ,Bend ova 1172/5 49°44′27″N 13°22′14″E / 49.740932°N 13.370522°E / 49.740932 ; 13.370522 ( Stolpersteine for Emil and Josef Ehrlich and Hermina Ehrlichová ),"Ehrlichová , Hermína Hermína Ehrlichová was born on 28 March 1896 . She was married to Josef ( see above ) . The couple had one son , Emil ( see above ) . They ran two linen shops , one on Sedláčkova , the other one on Klatovská , not far from their home in Bendova street . After the invasion of the Nazi troops , both shops were confiscated and their son was banned from school . The last residence of the family before deportation was in Pilsen . On 26 January 1942 , Hermína Ehrlichová , her husband and their son were deported with transport T to Theresienstadt concentration camp . Her transport number was 116 of 609 . After more than two years in Theresienstadt , the three family members were deported with transport Eb to Auschwitz concentration camp on 18 May 1944 . Her transport number was 834 of 2,500 . All three were murdered by the Nazi regime"
HERE LIVED ADOLF FANTA BORN 1889 DEPORTED 1942 TO THERESIENSTADT MURDERED 1942 IN IZBICA,sady Pětatřicátníků 316/6 49°44′46″N 13°22′26″E / 49.746222°N 13.373959°E / 49.746222 ; 13.373959 ( Stolpersteine for Adolf Fanta and Hana and Regina Fantová ),"Fanta , Adolf Adolf Fanta was born on 24 November 1889 . He grew up in Horní Roveň and later-on worked as a shop assistant in Jablonec nad Nisou and Pardubice . He came to Southern Bohemia where he met his future wife , Regina Glaserová from Èivice u Plané . They settled in Plzeň and got married in 1923 , the rabbi was Ludwig Golinski ( 1879-1942 ) . Nine months later their daughter Hana was born . After the destruction of Czechoslovakia by the Nazi regime and the occupation of Plzeň , the family underwent e series of restrictions und his daughter was expelled from school . Adolf Fanta experienced a severe Gestapo interrogation in January 1942 . Three days before the deportation of the family , he came home battered . This was witnessed by Jarmila Lodlová from Tymákov , a school friend of his daughter who was just visiting Hana . On 22 January 1942 , Adolf Fanta and his family were arrested and deported from Plzeň to Theresienstadt concentration camp by transport S. His transport number was 35 of 1,004 . They remained interred there for nearly two months . On 17 March 1942 , all three were deported to Izbica Ghetto by transport Ab . His transport number was 998 of 1,000 . Adolf Fanta , his wife and his daughter were murdered by the Nazi regime . If they did n't die in the Ghetto due to lack of food , they were murdered in one of the nearby extermination camps such as Bełżec or Sobibór"
HERE LIVED HANA FANTOVÁ BORN 1923 DEPORTED 1942 TO THERESIENSTADT MURDERED 1942 IN IZBICA,sady Pětatřicátníků 316/6 49°44′46″N 13°22′26″E / 49.746222°N 13.373959°E / 49.746222 ; 13.373959 ( Stolpersteine for Adolf Fanta and Hana and Regina Fantová ),"Fantová , Hana Hana Fantová was born on 18 November 1923 . Her parents were Adolf Fanta and Regina née Glaserová . During her early years she had a nanny , Marie Balická , a Catholic widow . Her father was a salesman , her mother was running a sewing shop . According to her classmates she was one of the best students . Hana was a modest girl , but also cheerful and sociable . On Saturdays , instead of school , she was allowed to attend the synagogue . She had to leave the school in the mid-term of the fifth grade because Jews were not allowed any longer to visit public schools . Her best friend was Jarmila Lodlová from Tymákov who remained faithful in the following years . She remembers : She had typically Jewish hair - black and curly . She was banned from going out , only in winter she used to go ice skating . She was cheerful and sociable . She was a good girl . She had to wear the star.″ Despite several prohibitions , Hana attended a dancing course . The family lost their shop and were expelled from their apartment . Thereafter they had to share a much smaller apartment with at least two other families . Her father experienced a severe Gestapo interrogation in January 1942 and came home battered . Three days later , on 22 January 1942 , Hana Fantová and her parents were deported from Plzeň to Theresienstadt concentration camp by transport S. Her transport number was 37 of 1,004 . They remained interred there for nearly two months . On 17 March 1942 , all three were deported to Izbica Ghetto by transport Ab . Her transport number was 1000 of 1,000 . Hana Fantová and her parents were murdered by the Nazi regime"
HERE LIVED REGINA FANTOVÁ BORN 1923 DEPORTED 1942 TO THERESIENSTADT MURDERED 1942 IN IZBICA,sady Pětatřicátníků 316/6 49°44′46″N 13°22′26″E / 49.746222°N 13.373959°E / 49.746222 ; 13.373959 ( Stolpersteine for Adolf Fanta and Hana and Regina Fantová ),"Fantová , Regina Regina Fantová née Glaserová was born on 14 . January 1887 . She was married to Adolf Fanta in 1923 . She was running a sewing shop , her husband was a salesman . The couple had a daughter named Hana ( born in 1923in ) . After the Nazi occupation of Plzeň , the family suffered from a series of restrictions and discriminations imposed on all Jews . Her husband was arrested , interrogated and beaten by the Gestapo . Regina Fantová , her husband and their daughter were arrested and , on 22 January 1942 , deported from Plzeň to Theresienstadt concentration camp by transport S. Her transport number was 35 of 1,004 . They remained interred there for nearly two months . On 17 March 1942 , all three were deported to Izbica Ghetto by transport Ab . Her transport number was 999 of 1,000 . During the Holocaust the town of Izbica in Eastern Poland was a desperately overcrowded gathering point for Jews from Poland and from abroad . It served as a transit camp where Jewish families had to wait for their transport to extermination camps such as Bełżec , Sobibór or Chelmno , not knowing that they were to be killed . Regina Fantová , her husband and their daughter were murdered by the Nazi regime either in Izbica or in one of the extermination camps"
HERE LIVED EMIL LÖBNER BORN 1897 DEPORTED 1942 TO THERESIENSTADT MURDERED 1944 IN AUSCHWITZ,Schwarzova 1847/50 49°43′53″N 13°21′53″E / 49.731439°N 13.364755°E / 49.731439 ; 13.364755 ( Stolpersteine for Emil Löbner and Josefina Klára Löbnerová ),"Löbner , Emil Emil Löbner was born on 26 March or April 1897 in Stribro . His parents were Sigmund Löbner and Regina née Rauscher . He had four sisters and one brother : Gisela ( 1890-1918 ) , Levana ( also Klara , born 1891 , later Steiner ) , Erna ( born 1893 , later Fantes ) , Mathilda ( born 1894 , later Kohn ) and Walter ( born 1903 ) . He was married to Josefina Löbnerová née Köserová ( born on 23 November 1897 ) . The couple had two sons : Egon ( born on 24 February 1924 ) and Vilém Benjamin ( born on 13 March 1926 ) . He became a successful businessman and headed the trade company R. E. Erben . In the late 1920s he could afford to construct a spacious villa in Schwarzova 50 . His wife was a housewife , the sons had Czech and German-speaking nannies and grew up fluent in both languages . Before the Nazis destroyed Czechoslovakia , Löbner delivered his goods to more than two hundred gas stations in western Bohemia . He was a member and sponsor of the local Jewish community and Zionist organizations . In 1939 , their son Vilém emigrated to Palestine . The Nazis confiscated the villa and his company . The family had to move to an apartment in Kollárovy 18 . On 18 January 1942 he , his wife and their son Egon were arrested and deported from Pilsen to Theresienstadt concentration camp by transport R. His transport number was 406 of 1,000 . On 7 July 1942 also his parents arrived at Theresienstadt . Unfortunately they both perished within the same year due to the harsh conditions there and due to starvation . Regina Löbnerová died on 23 August 1942 , Sigmund Löbner on 30 December 1942 . After twenty months in Theresienstadt , the family were separated . While his wife had to remain in the Ghetto there , Emil and Egon Löbner were deported on 28 September 1944 to Auschwitz concentration camp by transport Ek . His transport number was 364 of 2,500 . Emil Löbner lost his life there , when exactly is unknown , probably on the day of his arrival . Twenty-two days later , on 19 October 1944 , also Josefina Löbnerová was deported to Auschwitz and murdered immediately after arrival . Also , all three surviving sisters of Emil Löbner became victims of the Shoah . Mathilda and Erna were killed in October and November 1941 in Łódź Ghetto , Levana on 8 October 1942 in Treblinka extermination camp . Both Löbner sons could survive the Shoah . A photograph shows them both in the 1960s in Israel . Vilém Löbner emigrated to Palastine in 1939 . Egon Löbner was deported to Auschwitz too , on the same train like his father , was a forced laborer there , sent on a death march to Gross-Rosen und was transferred to Flossenbürg , where he had to work for Messerschmitt . In May 1945 , he was liberated by General Patton 's Third Army . He went back to Pilsen , completed high school and emigrated to the United States , became a renowned scientist in the field of optoelectronics , married and had three children . He testified in Auschwitz trials in Germany and was an important testimony of the Shoah . He died on 30 December 1989 in Palo Alto , California . Also Emil Löbner 's brother Walter could survive Auschwitz . He emigrated as well and died on 18 August 1989 in Haifa , Israel"
