Postcode district,Post town,Coverage,Local authority area
EX1,EXETER,"Exeter ( east ) , Heavitree ( north ) , Monkerton , Newtown , Pinhoe , West Clyst",Exeter
EX2,EXETER,"Exeter ( south ) , Heavitree ( south ) , St. Thomas ( south ) , Countess Wear , Wonford",Exeter
EX3,EXETER,"Clyst St. George , Ebford , Exton , Topsham",Exeter
EX4,EXETER,"Exeter ( north ) , Exwick , St. Thomas ( north ) , Beacon Heath , Redhills , Pennsylvania , St. James , Whitestone",Exeter
EX5,EXETER,"Bradninch , Broadclyst , Cadbury , Clyst Honiton , Clyst St. Mary , Cranbrook , Newton St. Cyres , Silverton , Talaton , Whimple , Woodbury","East Devon , Mid Devon"
EX6,EXETER,"Christow , Cockwood , Dunsford , Kennford , Kenton , Mamhead , Exminster",Teignbridge
EX7,DAWLISH,Dawlish,Teignbridge
EX8,EXMOUTH,"Exmouth , Lympstone",East Devon
EX9,BUDLEIGH SALTERTON,"Budleigh Salterton , East Budleigh , Otterton",East Devon
EX10,SIDMOUTH,"Sidmouth , Sidford , Sidbury",East Devon
EX11,OTTERY ST. MARY,Ottery St. Mary,East Devon
EX12,SEATON,"Seaton , Beer , Axmouth , Branscombe",East Devon
EX13,AXMINSTER,Axminster,East Devon
EX14,HONITON,Honiton,East Devon
EX15,CULLOMPTON,"Cullompton , Plymtree",Mid Devon
EX16,TIVERTON,Tiverton,Mid Devon
EX17,CREDITON,Crediton,Mid Devon
EX18,CHULMLEIGH,Chulmleigh,North Devon
EX19,WINKLEIGH,Winkleigh,Torridge
EX20,"NORTH TAWTON , OKEHAMPTON",Okehampton,West Devon
