Season,Top scorer ( s ),Club,Goals
2006-07,Damir Čakar Žarko Korać,Rudar Zeta,16
2007-08,Ivan Jablan,Lovćen,13
2008-09,Fatos Bećiraj,Budućnost,18
2009-10,Ivan Bošković,Grbalj,28
2010-11,Ivan Vuković,Budućnost,20
2011-12,Admir Adrović,Budućnost,22
2012-13,Admir Adrović Žarko Korać,Budućnost Zeta,15
2013-14,Stefan Mugoša,OFK Titograd,15
2014-15,Goran Vujović,Sutjeska,21
2015-16,Marko Šćepanović,OFK Titograd,19
2016-17,Zoran Petrović,OFK Titograd,14
2017-18,Igor Ivanović,Sutjeska,14
2018-19,Nikola Krstović,Zeta,17
