Team,Location,Venue,Capacity,Position in 1994-95
Dinamo Minsk,Minsk,Dinamo Stadium ( Minsk ),"50,050",1
Dvina Vitebsk,Vitebsk,Dinamo Stadium ( Vitebsk ),"5,500",2
Dinamo-93 Minsk,Minsk,Traktor Stadium,"25,000",3
Molodechno,Molodechno,City Stadium,"5,600",4
Dnepr Mogilev,Mogilev,Spartak Stadium ( Mogilev ),"12,000",5
Torpedo Minsk,Minsk,Torpedo Stadium ( Minsk ),"5,000",6
Neman Grodno,Grodno,Neman Stadium,"14,000",7
Obuvshchik,Lida,Obuvshchik Stadium,"3,500",8
Vedrich Rechitsa,Rechytsa,Rechitsadrev Stadium,"5,500",9
Dinamo Brest,Brest,Dinamo Stadium ( Brest ),"10,500",10
Torpedo Mogilev,Mogilev,Torpedo Stadium ( Mogilev ),"6,000",11
Bobruisk,Bobruisk,Spartak Stadium ( Bobruisk ),"4,800",12
Shinnik Bobruisk,Bobruisk,Spartak Stadium ( Bobruisk ),"4,800",13
Shakhtyor Soligorsk,Soligorsk,Stroitel Stadium,"5,000",14
MPKC Mozyr,Mozyr,Yunost Stadium,"7,500","First league , 1"
Ataka-Aura Minsk,Minsk,Traktor Stadium,"25,000","First league , 2"
