Event,Host,Sport,Venue,Date
UFC 69 : Shootout,UFC,Mixed martial arts,Toyota Center,"April 7 , 2007"
Wrestlemania X-Seven,WWE,Professional wrestling,Astrodome,"April 1 , 2001"
Wrestlemania XXV,WWE,Professional wrestling,Reliant Stadium,"April 5 , 2009"
Super Bowl VIII,NFL,Football,Rice Stadium,"January 13 , 1974"
Super Bowl XXXVIII,NFL,Football,Reliant Stadium,"February 1 , 2004"
2005 World Series,MLB,Baseball,Minute Maid Park,October 2005
1968 MLB All-Star Game,MLB,Baseball,Astrodome,"July 9 , 1968"
1986 MLB All-Star Game,MLB,Baseball,Astrodome,"July 15 , 1986"
2004 MLB All-Star Game,MLB,Baseball,Minute Maid Park,"July 13 , 2004"
2006 NBA All-Star Game,NBA,Basketball,Toyota Center,"February 19 , 2006"
1971 NCAA Men 's Final Four,NCAA,Basketball,Astrodome,"March 25 and 27 , 1971"
2010 MLS All-Star Game,MLS,Soccer,Reliant Stadium,"July 28 , 2010"
2011 NCAA Men 's Final Four,NCAA,Basketball,Reliant Stadium,"April 2 and 4 , 2011"
Big 12 Championship Game,Big 12,Football,Reliant Stadium,December 2002 and 2005
2013 USA Women 's Sevens,IRB,Rugby sevens,BBVA Compass Stadium,"February 1-2 , 2013"
2013 NBA All-Star Game,NBA,Basketball,Toyota Center,"February 17 , 2013"
2016 NCAA Men 's Final Four,NCAA,Basketball,NRG Stadium,"April 2 and 4 , 2016"
Copa América Centenario,CONMEBOL,Soccer,NRG Stadium,"June 11,13 , and 21 , 2016"
Super Bowl LI,NFL,Football,NRG Stadium,"February 5 , 2017"
2017 World Series,MLB,Baseball,Minute Maid Park,October 2017
