Year,Title,Role,Notes
1999,Ally McBeal,Kevin Wah,Episode : Civil War
1999,Sex and the City,Gregory,Episode : Twenty-Something Girls vs. Thirty-Something Women
2000-2001,Third Watch,Dr. Montville,5 episodes
2003,Smallville,Paul Hayden,Episode : Precipice
2003,Line of Fire,Roy Ravelle,13 episodes
2004,CSI : Miami,Tony Macken,Episode : Not Landing
2004-2005,The Mountain,Will Carver,13 episodes
2005,Lost,Kevin,"Episode : Man of Science , Man of Faith"
2006,Conviction,Jim Steele,
2007,Law & Order,Reverend James Sterling,Episode : Church
2007,The Cure,Darren Elliot,
2009,Dollhouse,Vitas,Episode : Gray Hour
2011-2016,Hell On Wheels,Cullen Bohannon,Lead role ; 55 episodes
2013,Red Widow,Evan Walraven,3 episodes
2017,Inhumans,Black Bolt,Lead role
2019,Star Trek : Discovery,Captain Christopher Pike,Series regular ; 14 episodes
2019,The Ready Room,Himself,Episode : Episode 11
2019,Star Trek : Short Treks,Captain Christopher Pike,3 episodes
