Name,Nation,From,To
Octavio Edmundo Salas Urbina,Nicaragua,1941,1943
Eduardo Kosovic 'Edy ',Hungary,1943,N/A
Santiago Bonilla,Costa Rica,1952,1953
Ferenc Mészáros,Hungary,1961,1961
Carlos Ruiz,Nicaragua,1961,1962
Santiago Berrini,Argentina,1965,1967
Livio Bendaña Espinoza,Nicaragua,1967,1969
Omar Muraco,Argentina,1969,1970
Salvador Dubois Leiva,Nicaragua,1977,1977
Orlando Casares,Argentina,1980,1981
Jan Fulop,Czechoslovakia,1985,1986
Salvador Dubois Leiva,Nicaragua,1991,1992
Mauricio Cruz Jiron,Nicaragua,1993,June 2001
Florencio Levia,Nicaragua,June 2001,December 2002
Maurizio Battistini,Italy,February 2003,June 2004
Marcelo Javier Zuleta,Argentina,January 2005,September 2005
Carlos De Toro,Argentina,September 2007,October 2008
Mauricio Cruz Jiron,Nicaragua,October 2008,November 2008
Ramón Otoniel Olivas,Nicaragua,November 2008,December 2009
Enrique Llena,Spain,January 2010,November 2014
