Call letters,Channel,Network ( s ),City and state
KNAT-TV,24 PSIP 23,TBN,"Albuquerque , New Mexico"
KNAZ-TV,22 PSIP/cable 2,NBC,"Flagstaff , Arizona"
KNBC,36 PSIP 4,4.1 NBC,"Los Angeles , California"
KNBN,21 PSIP 21,21.1 NBC 27.2 KWBH-LP,"Rapid City , South Dakota"
KNCT,46 PSIP 46,The CW,"Belton , Texas"
KNDB,26 PSIP 26,Dark,"Bismarck , North Dakota"
KNDM,24 PSIP 24,Dark,"Minot , North Dakota"
KNDO,16 PSIP 23,NBC,"Yakima , Washington"
KNDU,26 PSIP 25,NBC,"Richland , Washington"
KNHL,5 PSIP 5,Dark,"Hastings , Nebraska"
KNIC-DT,18 PSIP 17,Unimas,"Blanco , Texas"
KNIN-TV,10 PSIP 9,Fox,"Caldwell , Idaho"
KNLC,14 PSIP 24,religious independent,"St. Louis , Missouri"
KNLJ,20 PSIP 25,CTN,"Jefferson City , Missouri"
KNMD-TV,8 PSIP 9,PBS World,"Santa Fe , New Mexico"
KNME-TV,35 PSIP/cable 5,PBS,"Albuquerque , New Mexico"
KNMT,32 PSIP 24,TBN,"Portland , Oregon"
KNOE-TV,8 PSIP 8,8.1 CBS 8.2 The CW,"Monroe , Louisiana"
KNOP-TV,2 PSIP 2,2.1 NBC 11.2 KIIT,"North Platte , Nebraska"
KNPB,15 PSIP/cable 5,PBS,"Reno , Nevada"
