Spoofed Title,Actual Title,Writer,Artist,Issue,Date
The Sick Sense,The Sixth Sense ( August 1999 ) ( Genre : Supernatural horror ),Dick DeBartolo,Angelo Torres,389,2000-01 January 2000
Double Jerkery,Double Jeopardy ( September 1999 ) ( Genre : Neo-noir adventure crime thriller ),Dick DeBartolo,Mort Drucker,390,2000-02 February 2000
The Yellow Mile,The Green Mile ( December 1999 ) ( Genre : Fantasy crime drama ),Stan Hart,Mort Drucker,393,2000-05 May 2000
Errant Bra-on-Bitch,Erin Brockovich ( March 2000 ) ( Genre : Biographical drama ),Dick DeBartolo,Mort Drucker,395,2000-07 July 2000
Gatorader,Gladiator ( May 2000 ) ( Genre : Epic historical drama ),Arnie Kogen,Angelo Torres,397,2000-09 September 2000
The Perfect Snore,The Perfect Storm ( June 2000 ) ( Genre : Biographical disaster drama ),Dick DeBartolo,Mort Drucker,398,2000-10 October 2000
$ -MEN,X-Men ( July 2000 ) ( Genre : Superhero film ),Desmond Devlin,Angelo Torres,399,2000-11 November 2000
"Mish Mosh Is Possible , Too",Mission : Impossible 2 ( May 2000 ) ( Genre : Action spy film ),Dick Debartolo,Hermann Mejia,XL # 7,2001-01 January 2001
Meek with the Parents,Meet the Parents ( October 2000 ) ( Genre : Comedy ),Dick DeBartolo,Angelo Torres,402,2001-02 February 2001
Cheesy Angles,Charlie 's Angels ( November 2000 ) ( Genre : Action comedy ),Dick DeBartolo,Hermann Mejia,403,2001-03 March 2001
Unbearable,Unbreakable ( November 2000 ) ( Genre : Superhero thriller ),Dick DeBartolo,Angelo Torres,403,2001-03 March 2001
Passed Away,Cast Away ( December 2000 ) ( Genre : Epic survival drama ),Arnie Kogen,Mort Drucker,404,2001-04 April 2001
Traff-eccch !,Traffic ( January 2001 ) ( Genre : Crime drama ),Arnie Kogen,Tom Richmond,405,2001-05 May 2001
Cannibal,Hannibal ( February 2001 ) ( Genre : Psychological horror ),Dick DeBartolo,Angelo Torres,406,2001-06 June 2001
Hurl Horror,Pearl Harbor ( May 2001 ) ( Genre : Romantic period war drama ),Arnie Kogen,Angelo Torres,409,2001-09 September 2001
A.I . : Absolute Idiocy,A.I . Artificial Intelligence ( June 2001 ) ( Genre : Science fiction drama ),Dick DeBartolo,Mort Drucker,410,2001-10 October 2001
Lotta Crotch : Bazoom Raider,Lara Croft : Tomb Raider ( June 2001 ) ( Genre : Action-adventure ),Desmond Devlin,Tom Richmond,410,2001-10 October 2001
Planet of the Remakes,Planet of the Apes ( July 2001 ) ( Genre : Science fiction ),Dick DeBartolo,Ray Alma,411,2001-11 November 2001
Harry Plodder and the Sorry-Ass Story/Philistine Story,Harry Potter and the Sorcerer 's Stone/Philosopher 's Stone ( November 2001 ) ( Genre : Fantasy ),Desmond Devlin,Mort Drucker,412,2001-12 December 2001
The Ugghers,The Others ( August 2001 ) ( Genre : Gothic horror/Psychological thriller ),Arnie Kogen,Angelo Torres,412,2001-12 December 2001
