Freq,Callsign,Nickname,Format,Owner,Web site
88.1,KDIM,Oasis Network,Religious,Creative Educational Media Corp. Inc,[ 1 ]
88.7,KWTU,"Classical 88.7 , KWTU",Classical,University of Tulsa,[ 2 ]
89.1,KWRI,Air1,Christian Worship Music,Educational Media Foundation,[ 3 ]
89.5,KWGS,Public Radio Tulsa,NPR / BBC,University of Tulsa,[ 4 ]
90.1,KJZT-LP,Jazz Tulsa,Jazz,"Tulsa Community Radio , Inc",
90.5,KNYD,Oasis Network,Religious,Creative Educational Media Corp. Inc,[ 5 ]
91.3,KRSC,RSU Radio,College Radio,Rogers State University,[ 6 ]
92.1,KTBT,92.1 The Beat,Rhythmic Top 40,iHeartMedia,[ 7 ]
92.5,K223CG,Bott Radio Network,Christian Teaching,Bott Radio Network,[ 8 ]
92.9,KBEZ,92.9 The Drive,Classic hits,Griffin Communications,[ 9 ]
93.5,K228CG,93.5 The Jet,Classic rock,iHeartMedia,[ 10 ]
94.1,KXOJ-FM,94.1 KXOJ,Contemporary Christian Music,"SMG-Tulsa , LLC",[ 11 ]
94.5,K233AU,94.1 KXOJ,Contemporary Christian Music,"SMG-Tulsa , LLC",[ 12 ]
94.9,K235BK,St. Michael Catholic Radio 94.9,Catholic Religious,"Broken Arrow Catholic Radio , Inc",[ 13 ]
95.5,KWEN,K95.5FM,Country music,Cox Radio,[ 14 ]
95.9,K240ED,K-Love,Contemporary Christian Music,Educational Media Foundation,[ 15 ]
96.5,KRAV-FM,Mix 96.5,Hot Adult Contemporary/Adult Hit Music,Cox Radio,[ 16 ]
97.1,KYAL-FM,The Sports Animal,Sports,"KMMY , Inc",[ 17 ]
97.5,KMOD-FM,97.5 KMOD,Active Rock,iHeartMedia,[ 18 ]
97.9,K250BN,KETU La Diferente,Spanish Pop,La Zeta 95.7 Inc,[ 19 ]
