Rank,Title,Distributor,Domestic gross
1,Beverly Hills Cop,Paramount,"$ 234,760,478"
2,Ghostbusters,Columbia,"$ 229,242,989"
3,Indiana Jones and the Temple of Doom,Paramount,"$ 179,870,271"
4,Gremlins,Warner Bros,"$ 153,083,102"
5,The Karate Kid,Columbia,"$ 90,815,558"
6,Police Academy,Warner Bros,"$ 81,198,894"
7,Footloose,Paramount,"$ 80,035,402"
8,Romancing the Stone,20th Century Fox,"$ 76,572,238"
9,Star Trek III : The Search for Spock,Paramount,"$ 76,471,076"
10,Splash,Disney,"$ 69,821,334"
