Medal,Name,Event,Games
Gold,Men 's Team Muhammad Hardiansyah Muliang Nofrizal Rizky Abdul Rahman Pago Abdul Halim Radjiu Saiful Rijal Husni Uba,Men 's Quadrant,2018 Asian Games
Silver,Men 's Team Muhammad Hardiansyah Muliang Nofrizal Victoria Eka Prasetya Abdul Halim Radjiu Herson Mohamad Saipul,Men 's regu,2018 Asian Games
Bronze,Men 's Team Jusri Pakke Yudi Purnomo Husni Uba,Men 's Doubles,2006 Asian Games
Bronze,Men 's Team Muhammad Nasrum Jusri Pakke Edy Suwarno Yudi Purnomo Husni Uba,Men 's Regu,2006 Asian Games
Bronze,Men 's Team Abrian Sihab Aldilatama Suko Hartono Muhammad Nasrum Nurkholis Jusri Pakke Yudi Purnomo Stephanus Sampe Muhammad Suardi Wisnu Dwi Suhantoro Edy Suwarno Triaji Husni Uba,Men 's Team regu,2006 Asian Games
Bronze,Men 's Team Jusri Pakke Yudi Purnomo Husni Uba,Men 's Doubles,2010 Asian Games
Bronze,Women 's Team Asmira Florensia Cristy Jumasiah Mega Citra Kusuma Lena Leni Aliya Prihatini Nur Qadriyanti Dini Mita Sari Rike Media Sari Hasmawati Umar,Women 's Team Regu,2010 Asian Games
Bronze,Men 's Team Abrian Sihab Aldilatama Syamsul Akmal Firmansyah Syamsul Hadi Nofrizal Hendra Pago Andi Paturay Victoria Eka Prasetyo Saiful Rizal Husni Uba Yovi Hendra Utama Muhammad Ruswan Wajib,Men 's Team Regu,2014 Asian Games
Bronze,Women 's Team Florensia Cristy Lena Leni Dini Mita Sari Rike Media Sari,Women 's Regu,2014 Asian Games
Bronze,Women 's Team Florensia Cristy Jumasiah Kusnelia Lena Leni Widya Andrini Modjundju Dini Mita Sari Rike Media Sari Nur Isni Chikita Sumito Hasmawati Umar Irma Wati,Women 's Team Regu,2014 Asian Games
Bronze,Men 's Team Rezki Yusuf Djaina Muhammad Hardiansyah Muliang Nofrizal Hendra Pago Rizky Abdul Rahman Pago Abdul Halim Radjiu Saiful Rijal Herson Mohamad Saipul Husni Uba,Men 's Team Doubles,2018 Asian Games
Bronze,Men 's Team Syamsul Akmal Rezki Yusuf Djaina Muhammad Hardiansyah Muliang Nofrizal Hendra Pago Rizky Abdul Rahman Pago Victoria Eka Prasetya Abdul Halim Radjiu Saiful Rijal Herson Mohamad Saipul Andi Try Sandi Saputra Husni Uba,Men 's Team Regu,2018 Asian Games
Bronze,Women 's Team Akyko Micheel Kapito Dini Mita Sari Florensia Cristy Kusnelia Lena Leni,Women 's Quadrant,2018 Asian Games
