Title,Director,Country,Genre,Cast,Notes
Angel,Giorgos Katakouzinos,Greece,Drama,"Michalis Maniatis , Dionysis Xanthos",
Another Way,"Károly Makk , János Xantus",Hungary,"History , drama","Jadwiga Jankowska-Cieślak , Ildikó Bánsági , Grażyna Szapołowska , Judit Hernádi , Jozef Kroner , Gyula Szabó and Péter Andorai","a.k.a . Egymásra nézve ; co-written by Erzsébet Galgóczi , based on her semi-autobiographic novella Another Love ( Törvényen belül )"
Casta Diva,Eric De Kuyper,Belgium,Fantasy,"Emile Poppe , Jack Post , Paul Ruven and Paul Verstraten",
La colmena,Mario Camus,Spain,Drama,"Victoria Abril , Francisco Algora , Rafael Alonso , Ana Belén , José Bódalo , Mary Carrillo , Camilo José Cela , Queta Claver , Luis Escobar , Fiorella Faltoyano , Agustín González , Emilio Gutiérrez Caba , Rafael Hernández , Charo López , José Luis López Vázquez , Antonio Mingote , Mario Pardo , Encarna Paso , María Luisa Ponte , Elvira Quintillá , Francisco Rabal , Antonio Resines , José Sazatornil , Elena María Tejeiro , Ricardo Tundidor , Concha Velasco , Manuel Zarzo , Imanol Arias , Luis Barbero , Luis Ciges , Marta Fernández Muro and Miguel Rellán",a.k.a . The Beehive or The Hive ; based on the novel of the same name by Camilo José Cela
"Come Back to the Five and Dime , Jimmy Dean , Jimmy Dean",Robert Altman,United States,"Comedy , drama","Sandy Dennis , Cher , Karen Black , Sudie Bond , Marta Heflin , Kathy Bates , Mark Patton , Caroline Aaron , Ruth Miller , Gena Ramsel , Ann Risley and Dianne Turley Travis","Screenplay by Ed Graczyk , based on his stage play of the same name"
Le crime d'amour,Guy Gilles,France,Drama,"Macha Méril , Richard Berry , Jacques Penot , Manuel Gélin , Piéral , Jean-Marie Proslier , Rosette , Sonia Saviange , Jean Wiener , Isabelle Lepin , Jean Dasté , Romain Tagli , Pascal Greggory ( as Pascal Gréggory ) , Claude Brosset and Anne Caudry",
Deathtrap,Sidney Lumet,United States,"Comedy , crime , mystery , thriller","Michael Caine , Christopher Reeve , Dyan Cannon , Irene Worth , Henry Jones and Joe Silver","Co-written by Ira Levin , based on his stage play of the same name"
Drifting,Amos Guttman,Israel,"Short , drama","Jonathan Sagall , Ami Traub , Ben Levin , Dita Arel , Boaz Torjemann and Mark Hasmann",a.k.a . Nagu ' a or Afflicted ; first Israeli LGBT-themed film
Forty Deuce,Paul Morrissey,United States,Drama,"Orson Bean , Kevin Bacon , Mark Keyloun , Tommy Citera , Esai Morales , Harris Laskaway ( credited as Harris Laskawy ) , John Ford Noonan ( credited as John Noonan ) , Meade Roberts , Yukio Yamamoto , Rudy DeBellis , Steve Steinlauf and Susan Blond",
Labyrinth of Passion,Pedro Almodóvar,Spain,Comedy,"Cecilia Roth , Imanol Arias , Helga Liné , Marta Fernández Muro , Antonio Banderas , Fernando Vivanco , Ofelia Angélica , Luis Ciges , Angel Alcazar , Concha Grégori , Agustín Almodóvar and Cristina S. Pascual",
