No,Name,Selected,Club,Matches
1,Arthur Hennesey,1908,South Sydney,2
2,Frank Cheadle,1908,Newtown,5
3,James Davis,1908,South Sydney,3
4,Jim Devereux,1908,North Sydney,5
5,Mike Dore,1908,North Brisbane,3
6,Bob Graves,1908,Balmain,6
7,Charlie Hedley,1908,Glebe,3
8,Dinny Lutge,1908,North Sydney,3
9,"Doug McLean , Sr",1908,Brisbane,2
10,Herbert Dally Messenger,1908,Eastern Suburbs ( Sydney ),7
11,Larry Jersey OMalley,1908,Eastern Suburbs ( Sydney ),5
12,Albert Rosenfeld,1908,Eastern Suburbs ( Sydney ),4
13,John Rosewell,1908,South Sydney,1
14,Bob Tubman,1908,Blackstone,2
15,Edward Baird,1908,North Brisbane,1
16,Bill Hardcastle,1908,? ( Ipswich ),7
17,Sid Sandy Pearce,1908,Eastern Suburbs ( Sydney ),14
18,George Watson,1908,Brisbane,1
19,Tommy Anderson,1908,South Sydney,1
20,Bill Cann,1908,South Sydney,8
