Year,Character,Actor,Film
1969,Amanda,Lorena Kirk,Change of Habit
1969,Philip Ransome,Mark Lester,"Run Wild , Run Free"
1986,Eric Gibb,Jay Underwood,The Boy Who Could Fly
1988,Raymond Ray Babbitt,Dustin Hoffman,Rain Man
1990,Shane Costello,John and Joseph Vizzi,Backstreet Dreams
1993,Randall Eberlin,Jamie Harrold,Family Pictures
1993,Sally Matthews,Asha Menina,House of Cards
1994,Michael Barth,Bradley Pierce,Cries from the Heart
1994,David Goodson,Michael Goorjian,David 's Mother
1994,Henry and Verlin,Gary Farmer and Keegan MacIntosh,Henry & Verlin
1994,Tim Warden,Ben Faulkner,Silent Fall
1994,Gregory White,Keegan MacIntosh,The Innocent
1995,Rosetta Basilio,Megan Follows,Under the Piano
1997,Kazan,Andrew Miller,Cube
1998,Simon Lynch,Miko Hughes,Mercury Rising
1998,Meaghan Robinson,Laura Harling,Nightworld : Lost Souls
1998,Tracy Sinclair,Kulani Hassen,Down in the Delta
1999,Molly McKay,Elisabeth Shue,Molly
2000,Cody O'Connor,Holliston Coleman,Bless the Child
2002,Chloé,Adèle Haenel,Les Diables
