Rank,Name,Nation
1,Surya Bonaly,France
2,Lisa Ervin,United States
3,Chen Lu,China
4,Nicole Bobek,United States
5,Lenka Kulovaná,Czechoslovakia
6,Laëtitia Hubert,France
7,Yulia Potapova,Soviet Union
8,Susanne Mildenberger,Germany
9,Sabrina Tschudi,Switzerland
10,Julia Vorobieva,Soviet Union
11,Yukiko Kawasaki,Japan
12,Claudia Unger,Germany
13,Katja Günther,Germany
14,Rena Inoue,Japan
15,Zuzanna Szwed,Poland
16,Mary Angela Larmer Wilson,Canada
17,Sharon Coulson,United Kingdom
18,Sandra Garde,France
19,Emilia Nagy,Hungary
20,Lee Eun Hee,South Korea
