University,Location,Established
"Amity University , Noida",Noida,2005
Bennett University,Greater Noida,2016
Babu Banarasi Das University,Lucknow,2010
Galgotias University,Greater Noida,2011
GLA University,Mathura,2010
IFTM University,Moradabad,2010
Integral University,Lucknow,2004
Invertis University,Bareilly,2010
Jagadguru Rambhadracharya Handicapped University,Chitrakoot,2001
Mangalayatan University,Aligarh,2006
Mohammad Ali Jauhar University,Rampur,2006
Monad University,Hapur,2010
Noida International University,Greater Noida,2010
Rama University,Kanpur,2004
Sanskriti University,Mathura,2016
Sharda University,Greater Noida,2009
Shiv Nadar University,Greater Noida,2011
Shobhit University,Gangoh,2012
Shri Venkateshwara University,Gajraula,2010
Swami Vivekanand Subharti University,Meerut,2008
