Year,Title,Role
2002,My Name is Tanino,Sally Garfield
2002,Perfect Pie,Patsy Grady ( age 15 )
2002,The Hot Chick,Jessica Spencer / Clive Maxtone
2004,Mean Girls,Regina George
2004,The Notebook,Allison Allie Hamilton
2005,Wedding Crashers,Claire Cleary
2005,Red Eye,Lisa Reisert
2005,The Family Stone,Amy Stone
2007,Married Life,Kay Nesbitt
2008,The Lucky Ones,Colee Dunn
2009,State of Play,Della Frye
2009,The Time Traveler 's Wife,Clare Abshire
2009,Sherlock Holmes,Irene Adler
2010,Morning Glory,Becky Fuller
2011,Midnight in Paris,Inez
2011,Sherlock Holmes : A Game of Shadows,Irene Adler
2012,The Vow,Paige Collins
2012,Passion,Christine Stanford
2012,To the Wonder,Jane
2013,About Time,Mary
