Team,Head Coach,Captain,Kit manufacturer,Shirt sponsor
Assyriska FF,Pat Walker,Göran Marklund,Nike,Scania
IK Brage,Lennart Andersson,Niklas Forslund,Puma SE,SSAB
IF Brommapojkarna,Roberth Björknesjö,Pontus Segerström,adidas,Various
Degerfors IF,Patrik Werner,Tobias Solberg,adidas,Outokumpu
Falkenbergs FF,Thomas Askebrand,David Svensson,Nike,Various
Hammarby IF,Roger Sandberg,José Monteiro,Kappa,Pepsi
Jönköpings Södra IF,Hans Lindbom,Dennis Östlundh,Nike,Various
Landskrona BoIS,Henrik Larsson,Linus Malmqvist,Umbro,Various
Ljungskile SK,Bo Wålemark Örjan Glans,Johan Patriksson,Umbro,Various
Qviding FIF,Lars Ternström,Christian Lindström,Puma,ICA
GIF Sundsvall,Sören Åkeby,Jonas Wallerstedt,adidas,Norrporten
IFK Värnamo,Tony Johansson Glenn Ståhl,Tobias Englund,adidas,Various
Västerås SK,Erik Acar,Oscar Pehrsson,Nike,Various
Åtvidabergs FF,Andreas Thomsson,Henrik Gustavsson,Uhlsport,Sharp
Ängelholms FF,Christoffer Skoog Joakim Persson,Jakob Augustsson,adidas,Peab
Östers IF,Roar Hansen,Denis Velić,Umbro,ICA
