Rank,Player,Teams,Goals scored
1,Archie Thompson,Melbourne Victory,14
2,Shane Smeltz,"Wellington Phoenix , Gold Coast United , Perth Glory",11
3,Sergio van Dijk,"Brisbane Roar , Adelaide United",9
4,Besart Berisha,"Brisbane Roar , Melbourne Victory",7
5,Fabio Ferreira,"Adelaide United , Central Coast Mariners",6
5,Bruce Djite,"Adelaide United , Gold Coast United",6
5,Danny Allsopp,Melbourne Victory,6
8,Sasho Petrovski,"Central Coast Mariners , Newcastle Jets",5
8,Jeremy Brockie,"New Zealand Knights , Newcastle Jets , North Queensland Fury , Wellington Phoenix",5
8,Daniel McBreen,"North Queensland Fury , Perth Glory , Central Coast Mariners",5
8,Paul Ifill,Wellington Phoenix,5
8,Dario Vidosic,"Brisbane Roar , Adelaide United",5
