,Name on the Register,Date listed,Location,City or town
1,Ashland Archeological Site,"February 10 , 1975 ( # 75001090 )",Both sides of a small stream that meets Salt Creek immediately above its confluence with the Platte River 41°01′54″N 96°18′59″W / 41.031722°N 96.316389°W / 41.031722 ; -96.316389 ( Ashland Archeological Site ),Ashland
2,Bridge,"June 29 , 1992 ( # 92000707 )","County road over an unnamed stream , 4.7 miles ( 7.6 km ) southeast of Louisville 40°58′22″N 96°04′55″W / 40.972778°N 96.081944°W / 40.972778 ; -96.081944 ( Bridge )",Louisville
3,Cass County Courthouse,"January 10 , 1990 ( # 89002248 )",Main St. between 3rd and 4th Sts . 41°00′42″N 95°53′01″W / 41.011667°N 95.8835°W / 41.011667 ; -95.8835 ( Cass County Courthouse ),Plattsmouth
4,Theodore Davis Site,"May 19 , 1972 ( # 72000743 )",Address Restricted,Weeping Water
5,George E. Dovey House,"November 5 , 2018 ( # 100003091 )",423 N 4th St. 41°00′54″N 95°53′02″W / 41.0151°N 95.8838°W / 41.0151 ; -95.8838 ( George E. Dovey House ),Plattsmouth
6,The Elms,"March 24 , 1977 ( # 77000824 )",204 East F Street 40°50′39″N 96°17′31″W / 40.844206°N 96.291825°W / 40.844206 ; -96.291825 ( The Elms ),Elmwood
7,Paul Fitzgerald House,"March 2 , 2006 ( # 06000100 )",513 E. 2nd St. 41°00′05″N 96°09′23″W / 41.00125°N 96.1565°W / 41.00125 ; -96.1565 ( Paul Fitzgerald House ),Louisville
8,Paul Gering House,"July 12 , 2006 ( # 06000604 )",423 N. 6th St. 41°00′54″N 95°53′09″W / 41.01506°N 95.88586°W / 41.01506 ; -95.88586 ( Paul Gering House ),Plattsmouth
9,Gibson House,"March 20 , 1986 ( # 86000471 )",107 Clinton 40°52′15″N 96°08′41″W / 40.87072°N 96.14475°W / 40.87072 ; -96.14475 ( Gibson House ),Weeping Water
10,Walker Gilmore Site ( 22CC28 ),"October 15 , 1966 ( # 66000441 )","Northeastern quarter of the northeastern quarter of Section 28 , Township 11 North , Range 14 East 40°53′59″N 95°50′14″W / 40.899722°N 95.837222°W / 40.899722 ; -95.837222 ( Walker Gilmore Site ( 22CC28 ) )",Murray
11,James and Margaret Greer Farmstead,"March 21 , 2011 ( # 11000103 )",6315 202nd St. 40°53′18″N 96°26′49″W / 40.888333°N 96.446944°W / 40.888333 ; -96.446944 ( James and Margaret Greer Farmstead ),Alvo
12,Kehlbeck Farmstead,"September 26 , 1985 ( # 85002577 )",Address Restricted,Avoca
13,Christian Kupke Farmstead,"December 19 , 2012 ( # 12001073 )",32618 Church Rd . 40°57′27″N 96°14′54″W / 40.957507°N 96.248392°W / 40.957507 ; -96.248392 ( Christian Kupke Farmstead ),Murdock
14,Velosco V. Leonard House,"November 5 , 2018 ( # 100003092 )",323 N 6th St. 41°00′51″N 95°53′10″W / 41.0142°N 95.8862°W / 41.0142 ; -95.8862 ( Velosco V. Leonard House ),Plattsmouth
15,Manley School,"December 30 , 2004 ( # 04001414 )",115 Cherry St. 40°55′14″N 96°10′04″W / 40.9205°N 96.16772°W / 40.9205 ; -96.16772 ( Manley School ),Manley
16,McLaughlin-Waugh-Dovey House,"October 14 , 1980 ( # 80002443 )",414 B Ave. 41°00′49″N 95°53′05″W / 41.01353°N 95.88464°W / 41.01353 ; -95.88464 ( McLaughlin-Waugh-Dovey House ),Plattsmouth
17,Naomi Institute,"March 24 , 1977 ( # 77000825 )",3 miles ( 4.8 km ) east of Murray 40°55′46″N 95°51′10″W / 40.92933°N 95.85289°W / 40.92933 ; -95.85289 ( Naomi Institute ),Murray
18,Nehawka Flint Quarries,"January 26 , 1970 ( # 70000368 )",Address Restricted,Nehawka
19,Nehawka Public Library,"December 5 , 2002 ( # 02001481 )",Southeast corner of Elm and Maple Streets . 40°49′45″N 95°59′19″W / 40.82906°N 95.98853°W / 40.82906 ; -95.98853 ( Nehawka Public Library ),Nehawka
20,Capt . John O'Rourke House,"March 2 , 2006 ( # 06000102 )",424 N. 6th St. 41°00′54″N 95°53′11″W / 41.01508°N 95.8865°W / 41.01508 ; -95.8865 ( Capt . John O'Rourke House ),Plattsmouth
