Name,Location,Security level,Year opened,Population ( 2015 )
Bell County Forestry Camp,"Pineville , Kentucky",Minimum,1962,300
Blackburn Correctional Complex,"Lexington , Kentucky",Minimum,1972,320
Eastern Kentucky Correctional Complex,"West Liberty , Kentucky",Medium,1990,"1,689"
Green River Correctional Complex,"Central City , Kentucky",Minimum/Medium,1994,982
Kentucky Correctional Institute for Women,"Pewee Valley , Kentucky",All,1938,683
Kentucky State Penitentiary,"Eddyville , Kentucky",Maximum/ Supermax,1886,856
Kentucky State Reformatory,"La Grange , Kentucky",Medium,1936,2005
Little Sandy Correctional Complex,"Sandy Hook , Kentucky",Medium/Maximum,2005,1012
Luther Luckett Correctional Complex,"La Grange , Kentucky",Medium/Maximum,1981,987
Northpoint Training Center,"Burgin , Kentucky",Medium,1983,1230
Roederer Correctional Complex,"La Grange , Kentucky",Medium/Minimum,1976,1002
Ross-Cash Center,"Fredonia , Kentucky",Minimum,2015,200
Western Kentucky Correctional Complex,"Fredonia , Kentucky",Medium/Minimum,1977,693
