No,Position,Player,Nation
2,Defender,Mark Lindstrom,Sweden
3,Forward,Ropapa Mensah,Ghana
4,Defender,Dani Rovira,Colombia
5,Defender,Jordan Dover,Guyana
6,Defender,Xhelil Asani,North Macedonia
7,Defender,Ryan James,Canada
10,Forward,Steevan Dos Santos,Cape Verde
11,Midfielder,Kenardo Forbes,Jamaica
14,Midfielder,Robbie Mertz,United States
15,Midfielder,Anthony Velarde,United States
16,Forward,Mark Forrest,England
17,Midfielder,Thomas Vancaeyezeele,French Guiana
20,Defender,Tony Walls,United States
24,Goalkeeper,Anthony Mwembia,France
33,Forward,Lukas Fernandes,United States
