No,Position,Player,Nation
2,Defender,Keegan Rosenberry,United States
3,Defender,Drew Moor,United States
4,Defender,Danny Wilson,Scotland
5,Defender,Auston Trusty,United States
6,Defender,Lalas Abubakar,Ghana
7,Forward,Diego Rubio,Chile
9,Midfielder,Nicolas Benezet,France
10,Midfielder,Kellyn Acosta,United States
11,Forward,Jonathan Lewis,United States
12,Forward,Niki Jackson,United States
13,Defender,Sam Vines ( HG ),United States
14,Defender,Abdul Rwatubyaye,Rwanda
19,Midfielder,Jack Price,England
21,Midfielder,Younes Namli ( DP ; on loan from FC Krasnodar ),Denmark
22,Defender,Sebastian Anderson ( HG ),United States
23,Forward,Kei Kamara,Sierra Leone
24,Defender,Kortne Ford ( HG ),United States
26,Midfielder,Cole Bassett ( HG ),United States
27,Defender,Deklan Wynne,New Zealand
28,Midfielder,Sam Nicholson,Scotland
