Year,Title,Contribution,Notes
1942,In Which We Serve,Director,Won - AFGA Silver Condor Nominated - New York Film Critics Circle Award for Best Director
1944,This Happy Breed,"Director , Writer",
1945,Blithe Spirit,"Director , Writer",Won - Hugo Award for Best Dramatic Presentation
1945,Brief Encounter,"Director , Writer",Won - Palme d'Or Nominated - Academy Award for Writing Adapted Screenplay Nominated - Academy Award for Best Director
1946,Great Expectations,"Director , Writer",Nominated - Academy Award for Writing Adapted Screenplay Nominated - Academy Award for Best Director
1948,Oliver Twist,"Director , Writer",Won - Golden Lion Nominated - BAFTA Award for Best Film
1949,The Passionate Friends,"Director , Writer",
1950,Madeleine,Director,
1952,The Sound Barrier,Director,Won - National Board of Review Award for Best Director Won - BAFTA Award for Best Film
1954,Hobson 's Choice,"Director , Writer",Won - Golden Bear Won - BAFTA Award for Best Film Nominated - BAFTA Award for Best British Screenplay Nominated - BAFTA Award for Best Film
1955,Summertime,"Director , Writer",Won - New York Film Critics Circle Award for Best Director Nominated - Academy Award for Best Director Nominated - BAFTA Award for Best Film
1957,The Bridge on the River Kwai,Director,Won - Directors Guild of America Award for Outstanding Directing - Feature Film Won - Academy Award for Best Picture Won - Academy Award for Best Director Won - BAFTA Award for Best Film Won - Golden Globe Award for Best Motion Picture - Drama Won - Golden Globe Award for Best Director - Motion Picture Won - National Board of Review Award for Best Director Won - New York Film Critics Circle Award for Best Director
1962,Lawrence of Arabia,Director,Won - Directors Guild of America Award for Outstanding Directing - Feature Film Won - Academy Award for Best Director Won - Academy Award for Best Picture Won - Golden Globe Award for Best Director - Motion Picture Won - Golden Globe Award for Best Motion Picture - Drama Won - Italian National Syndicate of Film Journalists Silver Ribbon - Best Director of a Foreign Film Won - National Board of Review Award for Best Director
1965,Doctor Zhivago,Director,Nominated - Academy Award for Best Director Nominated - Academy Award for Best Picture Nominated - BAFTA Award for Best Film Won - Golden Globe Award for Best Director - Motion Picture Won - Golden Globe Award for Best Motion Picture - Drama Nominated - Golden Palm Won - David di Donatello for Best Foreign Director Tied - New York Film Critics Circle Award for Best Director ( Tied with Roman Polanski for Repulsion
1970,Ryan 's Daughter,Director,Nominated - BAFTA Award for Best Direction Nominated - BAFTA Award for Best Film Nominated - Directors Guild of America Award for Outstanding Directing - Feature Film Won - Evening Standard British Film Award for Best Director
1979,Lost and Found : The Story of Cook 's Anchor,"Director , Writer",
1984,A Passage to India,"Director , Writer , Editor",Nominated - Academy Award for Best Director Nominated - Academy Award for Best Picture Nominated - Academy Award for Best Film Editing Nominated - Academy Award for Best Adapted Screenplay Nominated - Directors Guild of America Award for Outstanding Directing - Feature Film Nominated - BAFTA Award for Best Adapted Screenplay Nominated - BAFTA Award for Best Film Nominated - Golden Globe Award for Best Director - Motion Picture Nominated - Golden Globe Award for Best Screenplay Won - Golden Globe Award for Best Foreign Film Won - Kansas City Film Critics Circle Award for Best Director Won - National Board of Review Award for Best Director Won - New York Film Critics Circle Award for Best Director Nominated - Writers Guild of America Award
