Year,Winner,AVG,Team ( s ),Runner-up,2nd AVG
1901,Nap Lajoie,.426,Philadelphia Athletics,Mike Donlin,.340
1902,Ed Delahanty,.376,Washington Senators,Charlie Hickman,.361
1903,Nap Lajoie,.344,Cleveland Naps,Sam Crawford,.335
1904,Nap Lajoie,.376,Cleveland Naps,Willie Keeler,.343
1905,Elmer Flick,.308,Cleveland Naps,Willie Keeler,.302
1906,George Stone,.358,St. Louis Browns,Nap Lajoie,.355
1907,Ty Cobb,.350,Detroit Tigers,Sam Crawford,.323
1908,Ty Cobb,.324,Detroit Tigers,Sam Crawford,.311
1909,Ty Cobb,.377,Detroit Tigers,Eddie Collins,.347
1910,Ty Cobb,.385,Detroit Tigers,Nap Lajoie,.384
1911,Ty Cobb,.420,Detroit Tigers,Shoeless Joe Jackson,.408
1912,Ty Cobb,.409,Detroit Tigers,Shoeless Joe Jackson,.395
1913,Ty Cobb,.390,Detroit Tigers,Shoeless Joe Jackson,.373
1914,Ty Cobb,.368,Detroit Tigers,Eddie Collins,.344
1915,Ty Cobb,.369,Detroit Tigers,Eddie Collins,.332
1916,Tris Speaker,.386,Cleveland Indians,Ty Cobb,.371
1917,Ty Cobb,.383,Detroit Tigers,George Sisler,.353
1918,Ty Cobb,.382,Detroit Tigers,George Burns,.352
1919,Ty Cobb,.384,Detroit Tigers,Bobby Veach,.355
1920,George Sisler,.407,St. Louis Browns,Tris Speaker,.388
