Mountain,Elevation ( metres ),Region,Mountain range
Huascarán S,"6,768",Ancash,Cordillera Blanca
Huascarán N,"6,655",Ancash,Cordillera Blanca
Yerupajá,"6,617",Ancash,Cordillera Huayhuash
Yerupaja Chico,"6,121",Ancash,Cordillera Huayhuash
Coropuna,"6,425",Arequipa,Cordillera Occidental
Coropuna Casulla,"6,377",Arequipa,Cordillera Occidental
Coropuna E,"6,305",Arequipa,Cordillera Occidental
Huandoy,"6,395",Ancash,Cordillera Blanca
Huandoy S,"6,160",Ancash,Cordillera Blanca
Ausangate,"6,372",Cusco,Cordillera Vilcanota
Huantsan ( Tunshu ),"6,369",Ancash,Cordillera Blanca
Chopicalqui,"6,345",Ancash,Cordillera Blanca
Siula Grande,"6,344",Lima - Huánuco,Cordillera Huayhuash
Chinchey ( Rurichinchay ),"6,309",Ancash,Cordillera Blanca
Ampato,"6,288",Arequipa,Cordillera Occidental
Palcaraju,"6,274",Ancash,Cordillera Blanca
Salcantay,"6,271",Cusco,Cordillera Vilcabamba
Santa Cruz,"6,241",Ancash,Cordillera Blanca
Copa,"6,188",Ancash,Cordillera Blanca
Ranrapalca,"6,162",Ancash,Cordillera Blanca
