Year,Title,Opening ( USD in millions )
2002,Spider-Man,$ 125.9
2002,Star Wars : Episode II - Attack of the Clones,$ 179.3
2002,The Lord of the Rings : The Two Towers,$ 189.9
2003,The Matrix Revolutions,$ 201.4
2003,The Lord of the Rings : The Return of the King,$ 250.0
2005,Star Wars : Episode III - Revenge of the Sith,$ 303.9
2007,Spider-Man 3,$ 381.7
2009,Harry Potter and the Half-Blood Prince,$ 394.0
2011,Harry Potter and the Deathly Hallows - Part 2,$ 483.2
2015,Jurassic World,$ 525.5
2015,Star Wars : The Force Awakens,$ 529.0
2017,The Fate of the Furious,$ 541.9
2018,Avengers : Infinity War,$ 640.5
2019,Avengers : Endgame,"$ 1,223.6"
