Rank in 2016,Club,Revenue ( € million ),Country,Rank in 2015,Change
1,Real Madrid,577.0,Spain,1,-
2,Barcelona,560.8,Spain,4,+2
3,Manchester United,519.5,England,2,−1
4,Paris Saint - Germain,480.8,France,5,+1
5,Bayern Munich,474.0,Germany,3,−2
6,Manchester City,463.5,England,6,-
7,Arsenal,435.5,England,8,+1
8,Chelsea,420.0,England,7,−1
9,Liverpool,391.8,England,9,-
10,Juventus,323.9,Italy,10,-
11,Borussia Dortmund,280.6,Germany,11,-
12,Tottenham Hotspur,257.5,England,13,+1
13,Schalke 04,219.7,Germany,14,+1
14,Milan,199.1,Italy,12,−2
15,Atlético Madrid,187.1,Spain,15,-
16,Roma,180.4,Italy,24,+8
17,Newcastle United,169.3,England,19,+2
18,Everton,165.1,England,20,+2
19,Internazionale,164.8,Italy,17,-2
20,West Ham United,160.9,England,21,+1
