Year,Horse,Trainer,Owner
1949,Two Lea ( DRF tie ),Horace A. Jones,Calumet Farm
1949,Wistful ( DRF tie ),Horace A. Jones,Calumet Farm
1948,Miss Request,James P. Conway,Florence Whitaker
1947,But Why Not,Max Hirsch,Robert J. Kleberg Jr
1946,Bridal Flower,James W. Smith,John R. Bradley
1945,Busher,George M. Odom,Louis B. Mayer
1944,Twilight Tear,Ben A. Jones,Calumet Farm
1943,Stefanita,Bert Mulholland,George D. Widener Jr
1942,Vagrancy,James E. Fitzsimmons,Belair Stud
1941,Painted Veil,Graceton Philpot,Louis B. Mayer
1940,Fairy Chant,Richard E. Handlen,William du Pont Jr
1939,Unerring ( DRF ),Ben A. Jones,Woolford Farm
1939,War Plumage,Howard Oots,James Cox Brady Jr
1938,Handcuff,Hugh L. Fontaine,Isabel Dodge Sloane
1937,Dawn Play,Max Hirsch,Robert J. Kleberg Jr
1936,High Fleet,Bert Mulholland,George D. Widener Jr
