Original NFL team,Player,Pos,College,Conf
Baltimore Ravens,Tim Barnes,C,Missouri,Big 12
Baltimore Ravens,Patrick Scales,LS,Utah State,WAC
Buffalo Bills,Danny Aiken,LS,Virginia,ACC
Carolina Panthers,Byron Bell,OT,New Mexico,MWC
Chicago Bears,Mario Addison,DE,Troy,Sun Belt
Cleveland Browns,Craig Robertson,LB,North Texas,Sun Belt
Dallas Cowboys,Dan Bailey,K,Oklahoma State,Big 12
Dallas Cowboys,Kai Forbath,K,UCLA,Pac-10
Dallas Cowboys,Chris Jones,P,Carson-Newman,SAC
Denver Broncos,Chris Harris Jr,CB,Kansas,Big 12
Green Bay Packers,Brandon Saine,RB,Ohio State,Big Ten
Jacksonville Jaguars,Cameron Bradfield,T,Grand Valley State,GLIAC
Minnesota Vikings,Andre Holmes,WR,Hillsdale,GLIAC
Minnesota Vikings,Allen Reisner,TE,Iowa,Big Ten
New England Patriots,Richard Medlin,RB,Fayetteville State,CIAA
New Orleans Saints,Isa Abdul-Quddus,FS,Fordham,Patriot
New York Giants,Larry Donnell,TE,Grambling State,SWAC
Oakland Raiders,Sterling Moore,CB,SMU,C-USA
Philadelphia Eagles,Cedric Thornton,DE,Southern Arkansas,Gulf South
San Diego Chargers,Patrick DiMarco,FB,South Carolina,SEC
