Year,Overall Winner,Second,Third
2004,Flober Peña ( COL ),Miguel Armando Ubeto ( VEN ),Nicolas Dumont ( FRA )
2003,José Daniel Bernal ( COL ),Hugo Ferney ( COL ),Flober Peña ( COL )
2002,Frédéric Delalande ( FRA ),José Daniel Bernal ( COL ),Rodolfo Camacho ( COL )
2001,Rodolfo Camacho ( COL ),Carlos José Ochoa ( VEN ),José Daniel Bernal ( COL )
2000,José Daniel Bernal ( COL ),Julian Winn ( GBR ),Flober Peña ( COL )
1999,José Daniel Bernal ( COL ),Vincent Klaes ( FRA ),Lionel Lorgeou ( FRA )
1998,Régis Balandraud ( FRA ),Ghislain Marty ( FRA ),José Daniel Bernal ( COL )
1997,Philippe Mauduit ( FRA ),Jose Ismael Sarmiento ( COL ),Alvaro Sierra ( COL )
1996,Walter Bénéteau ( FRA ),Raul Gomez ( COL ),Frédéric Mainguenaud ( FRA )
1995,José Daniel Bernal ( COL ),Christian Blanchard ( FRA ),Mickael Pichon ( FRA )
1994,José Castelblanco ( COL ),Walter Bénéteau ( FRA ),Peter Longbottom ( GBR )
1993,Julio César Aguirre ( COL ),Alexis Méndez ( VEN ),Alekandras Ivanovas ( LTU )
1992,Efraín Rico ( COL ),Jens Voigt ( GER ),Jair Humberto Bernal ( COL )
1991,Molière Gène ( GLP ) Anse-Bertrand,Henry Ortiz ( COL ),Erwin Thijs ( BEL )
1990,Robinson Merchán ( VEN ),André Alexis ( FRA ),Alexis Méndez ( VEN )
1989,Alexis Méndez ( VEN ),Jesús Torres ( VEN ),Marco Masetti ( ITA )
1988,Leonardo Sierra Sepulveda ( VEN ),Jose Villamizar ( VEN ),Enrique Campos ( VEN )
1987,Jesús Torres ( VEN ),Rosalien Pierre ( GLP ),Luis Saavedra ( URU )
1986,Alberto Camargo ( COL ),Eric Zubar ( GLP ),Gilles Faury ( FRA )
1985,Eric Zubar ( GLP ) Sainte-Rose,Rosalien Pierre ( GLP ),Maurice Amos ( GLP )
