Date,Co-Hosts,Guests/Segments
April 1,Regis Philbin & Carrie Ann Inaba,"Janet Jackson , Dancing with the Stars castoffs Shannen Doherty & Mark Ballas , New York Auto Show Week"
April 2,Regis Philbin & Carrie Ann Inaba,"Donald Trump , Mario Lopez , New York Auto Show Week , Fitness Friday"
April 5,Regis Philbin & Kelly Ripa,"Tori Spelling & Dean McDermott , Peter Krause , David Gray"
April 6,Regis Philbin & Kelly Ripa,"Carol Burnett , Michael Kors , Ringling Brothers Circus"
April 7,Regis Philbin & Kelly Ripa,Tina Fey & Andie MacDowell
April 8,Kelly Ripa & Bruno Tonioli,"Steve Carell , Dancing with the Stars castoffs Buzz Aldrin & Ashly Costa"
April 9,Regis Philbin & Kelly Ripa,"Anthony LaPaglia , Prom dresses , Fitness Friday"
April 12,Regis Philbin & Kelly Ripa,"Megan Mullally , Jane Lynch , CC Sabathia"
April 13,Regis Philbin & Kelly Ripa,"Michael J . Fox , Seth Meyers"
April 14,Regis Philbin & Kelly Ripa,"Demi Moore , Hilary Duff"
April 15,Regis Philbin & Kelly Ripa,"Chris Rock , Dancing with the Stars castoffs Aiden Turner & Edyta Śliwińska"
April 16,Kelly Ripa & Nathan Lane,"Tracy Morgan , three Project Runway finalists , Fitness Friday"
April 19,Regis Philbin & Kelly Ripa,"Sharon Osbourne , Train , Spring Into Gardening Week"
April 20,Regis Philbin & Kelly Ripa,"Jennifer Lopez , Sarah Silverman , Spring Into Gardening Week"
April 21,Regis Philbin & Kelly Ripa,"Susan Sarandon , Spring Into Gardening Week"
April 22,Regis Philbin & Kelly Ripa,"Zoe Saldana , Dancing with the Stars castoffs Kate Gosselin & Tony Dovolani , Spring Into Gardening Week"
April 23,Kelly Ripa & Anderson Cooper,"Drew Brees , Project Runway winner , Spring Into Gardening Week , Fitness Friday"
April 26,Regis Philbin & Kelly Ripa,"Kristin Cavallari , Broadway Week"
April 27,Regis Philbin & Kelly Ripa,"Molly Ringwald , Brooke Shields , Broadway Week"
April 28,Regis Philbin & Kelly Ripa,"The Real Housewives of New Jersey , Broadway Week"
