Title,Genre,Acts,Libretto,Premiere date,"Place , opera house"
Demetrio e Polibio,dramma serio,2 acts,"Vincenzina Viganò-Mombelli , possibly after Metastasio",18 May 1812 ( composed 1806-09 ),"Rome , Teatro Valle"
La cambiale di matrimonio,farsa comica,1 act,"Gaetano Rossi , after Camillo Federici and Giuseppe Checcherini 's libretto ( 1807 ) for Carlo Coccia",3 November 1810,"Venice , Teatro San Moisè"
L'equivoco stravagante,dramma giocoso,2 acts,Gaetano Gasbarri,26 October 1811,"Bologna , Teatro del Corso"
L'inganno felice,farsa,1 act,"Giuseppe Maria Foppa , after Giuseppe Palomba 's libretto ( 1798 ) for Giovanni Paisiello",8 January 1812,"Venice , Teatro San Moisè"
"Ciro in Babilonia , ossia La caduta di Baldassare",dramma con cori,2 acts,Francesco Aventi,14 March 1812,"Ferrara , Teatro comunale di Ferrara"
La scala di seta,farsa comica,1 act,"Giuseppe Maria Foppa , after François-Antoine-Eugène de Planard 's libretto ( 1808 ) for Pierre Gaveaux",9 May 1812,"Venice , Teatro San Moisè"
La pietra del paragone,melodramma giocoso,2 acts,Luigi Romanelli,26 September 1812,"Milan , Teatro alla Scala"
"L'occasione fa il ladro , ossia Il cambio della valigia",burletta per musica,1 act,"Luigi Prividali , after Le prétendu sans le savoir ( 1810 ) by Eugène Scribe",24 November 1812,"Venice , Teatro San Moisè"
"Il signor Bruschino , ossia Il figlio per azzardo",farsa giocosa,1 act,"Giuseppe Maria Foppa , after Le fils par hasard ( 1809 ) by René de Chazet and Maurice Ourry",27 January 1813,"Venice , Teatro San Moisè"
Tancredi ( revised March 1813 ),melodramma eroico,2 acts,"Gaetano Rossi , after Voltaire ; revised by Luigi Lechi",6 February 1813 ; revised version : 21 March 1813,"Venice , Teatro La Fenice ; revised version : Ferrara"
L'italiana in Algeri,dramma giocoso,2 acts,"Angelo Anelli , originally written ( 1808 ) for Luigi Mosca",22 May 1813,"Venice , Teatro San Benedetto"
Aureliano in Palmira,dramma serio,2 acts,"G.F.R . ( attributed to Felice Romani , possibly in collaboration with Luigi Romanelli , or Gian Francesco Romanelli ) , after Gaetano Sertor",26 December 1813,"Milan , Teatro alla Scala"
Il turco in Italia,dramma buffo,2 acts,"Felice Romani , after Caterino Mazzolà 's libretto ( 1788 ) for Franz Seydelmann",14 August 1814,"Milan , Teatro alla Scala"
Sigismondo,dramma,2 acts,Giuseppe Maria Foppa,26 December 1814,"Venice , Teatro La Fenice"
"Elisabetta , regina d'Inghilterra",dramma,2 acts,"Giovanni Schmidt , after Carlo Federici and Sophia Lee",4 October 1815,"Naples , Teatro di San Carlo"
Torvaldo e Dorliska,dramma semiserio,2 acts,"Cesare Sterbini , after Jean-Baptiste de Coudry 's Vie et amours du chevalier de Faubles ( 1790 ) and other libretti based on this work such as Claude-François Fillette-Loraux 's libretto ( 1791 ) for Luigi Cherubini and Francesco Gonella 's libretto for ( 1796 ) Simon Mayr and Ferdinando Paer",26 December 1815,"Rome , Teatro Valle"
"Il barbiere di Siviglia , ossia L'inutile precauzione ( initially titled Almaviva )",commedia,2 acts,"Cesare Sterbini , after Beaumarchais and Giuseppe Petrosellini 's libretto ( 1782 ) for Giovanni Paisiello",20 February 1816,"Rome , Teatro Argentina"
"La gazzetta , ossia Il matrimonio per concorso",dramma ( opera buffa ),2 acts,"Giuseppe Palomba ( revised by Andrea Leone Tottola ) , after Il matrimonio per concorso ( 1763 ) by Carlo Goldoni",26 September 1816,"Naples , Teatro de ' Fiorentini"
"Otello , ossia Il Moro di Venezia",dramma,3 acts,"Francesco Maria Berio di Salsa , after Othello , ou le More de Venise ( 1792 ) by Jean-François Ducis",4 December 1816,"Naples , Teatro del Fondo"
"La Cenerentola , ossia La bontà in trionfo",dramma giocoso,2 acts,"Jacopo Ferretti , after Cendrillon ( 1698 ) by Charles Perrault and several libretti derived from it such as Charles-Guillaume Etienne 's libretto for Nicolas Isouard ( 1810 ) and Francesco Fiorini 's libretto for Stefano Pavesi 's Agatina ( 1814 )",25 January 1817,"Rome , Teatro Valle"
