Rank,Country,Team,Points
1,England,Nick Rose Ray Smedley Steve Kenyon,7
2,Scotland,Jim Brown Ian Gilmour Ron MacDonald,30
3,Italy,Franco Fava Aldo Tomasini Vincenzo Lavini,39
4,Belgium,Eddy Van Mullem Eric De Beck Herman Mignon,42
5,Spain,Ramon Sanchez Ricardo Ortega Enrique Chaves,52
6,Ireland,Eddie Leddy Eamonn Coghlan Neil Cusack,59
7,Northern Ireland,Greg Hannon Gerry Hannon John Baillie,61
8,France,Alain Grandfils Gérard Thomazo Claude Biteau,68
9,Algeria,Kamel Guemar Attallah Djelloul Mohamed Salem,72
10,Portugal,Fernando Mamede Vasco Pereira Carlos Cabral,88
