Year,City,Sport,Event
1962,Taipei,Baseball,1962 Asian Baseball Championship
1969,Taipei,Baseball,1969 Asian Baseball Championship
1970,Kaohsiung,Judo,1970 Asian Judo Championships
1977,Taipei,Soccer,1977 AFC Women 's Championship
1997,Taipei,Baseball,Asian Baseball Championship
1997,Taipei,Wrestling,1997 Asian Wrestling Championships
1999,Chiayi,Volleyball,1999 Asian Youth Boys Volleyball Championship
2001,Xinzhuang,Baseball,2001 Asian Baseball Championship
2001,Taiwan,Baseball,2001 Baseball World Cup
2001,Taipei,Soccer,2001 AFC Women 's Championship
2001,Taiwan,Golf,BMW Asian Open
2002,Taipei,Basketball,2002 ABC Under-18 Championship for Women
2002,Taiwan,Golf,BMW Asian Open
2004,Taipei,Basketball,2004 FIBA Asia Stanković Cup
2004,Kaohsiung,Nine-ball,WPA World Nine-ball Championship
2004,Taipei/ Taoyuan,Futsal,2004 FIFA Futsal World Championship
2005,Kaohsiung,Nine-ball,WPA World Nine-ball Championship
2005,Taipei,Soccer,2005 East Asian Football Championship
2006,Taichung,Baseball,2006 Intercontinental Cup
2006,Taipei,Baseball,2006 Women 's Baseball World Cup
