Year,Title,Artist,Label
1992,Plays Music by Rich Latham,The Oversize Quartet,Accurate
1994,Big Band Basie,Clark Terry with the DePaul University Big Band,Reference
1998,Architextures,Vijay Iyer,Red Giant
2001,Panoptic Modes,Vijay Iyer,Red Giant
2003,Blood Sutra,Vijay Iyer,Pi
2003,In What Language ?,Vijay Iyer,Pi
2005,Far Side of Here,Brooklyn Saxophone Quartet,Omnitone
2005,Reimagining,Vijay Iyer,Savoy Jazz
2006,Bazaar,Rez Abbasi,Zoho
2007,The Chicago Sessions,Clark Terry with the DePaul University Big Band,Summit
2007,Two Rivers,Amir ElSaffar,Pi
2008,A Celebration of the Music of Miles Davis,"Miles from India , produced by Bob Belden",Four Quarters
2008,Real People,Anders Morgensen,Blackout
2008,Tragicomic,Vijay Iyer,Sunnyside
2009,Things to Come,Rez Abbasi,Sunnyside
2010,The Two Faces of Janus,Jason Robinson,Cuneiform
2010,Providencia,Danilo Pérez,Mack Avenue
2011,Live at Yoshi 's 2010,Jack DeJohnette,Golden Beams
2011,Suno Suno,Rez Abbasi,Enja
