Name,Chartered,Institution,Location,Status
Alpha Alpha Lambda,"November 21 , 1992",Troy University,"Troy , AL",Active
Alpha Beta,"November 21 , 1927",Jackson State University,"Jackson , MS",Active
Alpha Beta Gamma,"November 21 , 1998",University of Tampa,"Tampa , FL",Active
Alpha Beta Theta,1999,Kennesaw State University,"Kennesaw , GA",Active
Alpha Beta Iota,1998,Florida Atlantic University,"Boca Raton , FL",Active
Alpha Zeta,1946,Alcorn State University,"Lorman , MS",Active
Alpha Eta,"December 6 , 1935",Florida Agricultural and Mechanical University,"Tallahassee , FL",Active
Alpha Pi,1942,Fort Valley State University,"Fort Valley , GA",Active
Alpha Sigma Alpha,2007,University of Alabama in Huntsville,"Huntsville , AL",Active
Alpha Omicron Alpha,1996,Mississippi University for Women,"Columbus , MS",Active
Alpha Psi Alpha,1998,Auburn University at Montgomery,"Montgomery , AL",Active
Beta Beta Alpha,"December 2 , 1998",University of North Alabama,"Florence , AL",Inactive
Beta Beta Beta,"November 16 , 2001",Clayton State University,"Morrow , GA",Active
Beta Beta Gamma,"November 11 , 2001",Augusta University,"Augusta , GA",Active
Beta Beta Kappa,2004,University of North Florida,"Jacksonville , FL",Active
Beta Beta Lambda,2004,College of the Bahamas,"Nassau , New Providence , Bahamas",Active
Beta Beta Tau,,LaGrange College,"LaGrange , GA",Active
Beta Beta Phi,"April 8 , 2007",University of West Florida,"Pensacola , FL",Active
Beta Kappa,1948,Tuskegee University,"Tuskegee , AL",Active
Beta Pi,1947,Florida Memorial University,"Miami Gardens , FL",Active
