,Name,From,Fee,Year
1,Gylfi Sigurðsson,Swansea City,£40M,2017
2,Richarlison,Watford,£35M,2018
3,Jordan Pickford,Sunderland,£25M,2017
4,Yerry Mina,FC Barcelona,£27M,2018
5,Romelu Lukaku,Chelsea,£28M,2014
6,Alex Iwobi,Arsenal,£28M,2019
7,Michael Keane,Burnley,£25M,2017
8,Davy Klaassen,A.F.C . Ajax,£23.6M,2017
9,Yannick Bolasie,Crystal Palace,£22.5M,2016
10,Cenk Tosun,Beşiktaş,£21M,2018
11,Morgan Schneiderlin,Manchester United,£20M,2017
12,Theo Walcott,Arsenal,£20M,2018
13,Lucas Digne,Barcelona,£18M,2018
