Team,Location,Stadium,Stadium capacity
BÍ/Bolungarvík,Ísafjörður / Bolungarvík,Torfnesvöllur,"2,000"
Fjölnir,Reykjavík,Fjölnisvöllur,"2,000"
Haukar,Hafnarfjörður,Ásvellir,"3,000"
Höttur,Egilsstaðir,Vilhjálmsvöllur,500
ÍR,Reykjavík,Hertzvöllurinn,"1,500"
KA,Akureyri,Akureyrarvöllur,"2,000"
Leiknir R,Reykjavík,Leiknisvöllur,300
Tindastóll,Sauðárkrókur,Sauðárkróksvöllur,"2,500"
Víkingur Ó,Ólafsvík,Ólafsvíkurvöllur,800
Víkingur R,Reykjavík,Víkin,"1,152"
Þór A,Akureyri,Þórsvöllur,984
Þróttur R,Reykjavík,Valbjarnarvöllur,"5,478"
