Line name,Line name ( Chinese ),start station,end station,Train identifiers,Note
Shanghai Area : Jinshan,金山线,Shanghai South,Jinshanwei,C ?,Also called Shanghai Metro Line 22
Zhongchuan Airport intercity,中川机场城际,Lanzhou West,Zhongchuan Airport,C D,Lanzhou Area only except a single round trip to/from Tianshui South
Beijing Subway Daxing Airport Express,北京地铁大兴机场线,Caoqiao,Daxing Airport,Unknown,Not part of CR System
Baotou-Xi'an *,包西线西延段,Xi'an,Yan'an,D Z T K,Different from Baotou-Xi'an High-speed Railway ( under construction )
Nanjing-Chengdu *,宁蓉线宜凉段 ( 宜万铁路 ),Yichang East,Liangwu,G D Z K,Passenger service branches at Lichuan
Lanzhou-Chongqing,兰渝铁路,Lanzhou,Chongqing North,G D Z K,
Changsha-Zhuzhou/Xiangtan,长株潭城际铁路,Changsha West,Zhuzhou South / Xiangtan,C,
Guiyang-Kaiyang,贵开城际铁路,Guiyang,Kaiyang,C,
Guangzhou-Shenzhen ( quadtuple track ),广深线 ( 城际线 ),Foshan West,Shenzhen,C D,Through operation to Huaiji ( Guiyang-Guangzhou high-speed line ) . Operates at 180km/h
