Name,Type,Date,Condition,Notes
Cleeve Abbey,Abbey,1198,Parts survive,"Located near the village of Washford , Cleeve Abbey was founded as a house for monks of the Cistercian order . It was closed in 1536 and the abbey was converted into a country house"
Dunster Butter Cross,Standing cross,15th century,Ruined,"A transplanted stump of a medieval stone cross , once a meeting place for butter-sellers"
Dunster Gallox Bridge,Bridge,15th century,Complete,An ancient stone bridge which once carried packhorses bringing fleeces to Dunster market
Dunster Yarn Market,Market hall,17th century,Complete,A 17th-century timber-framed octagonal market hall in the village of Dunster
Farleigh Hungerford Castle,Castle,14th century,Ruined,"Started in the 14th century , this fortified mansion was occupied for 300 years by the Hungerford family . Much of it was broken up for salvage in the 18th century . The castle chapel was repaired in 1779 and became a museum of curiosities , complete with the murals rediscovered on its walls in 1844"
Glastonbury Tribunal,Town house,15th century,Complete,"A late 15th-century town house , once mistakenly identified as a courtroom of Glastonbury Abbey . It now houses both the Tourist Information Centre and the Glastonbury Lake Village Museum"
Meare Fish House,Fish house,14th century,Complete,"The only surviving monastic fishery building in England , this housed the Abbot of Glastonbury 's water bailiff and provided facilities for fish-salting and drying"
Muchelney Abbey,Abbey,12th century,Ruined,"Once a wealthy Benedictine house and the second oldest religious foundation in Somerset , but as part of the dissolution the abbeys principal buildings were demolished by Henry VIII in 1538 . The foundations of the abbey are laid out with parts of the cloister walk and thatched monks lavatory . The 16th century abbots house remains intact"
Nunney Castle,Castle,14th century,Ruined,"A moated castle built in the 1370s . Extensively modernised in the late 16th century , the castle was held for the King during the Civil War , but quickly fell to Parliamentarian cannon in 1645 : not until Christmas Day 1910 , however , did the gun-damaged portion of the wall finally collapse"
Sir Bevil Grenville 's Monument,Monument,1720,Complete,"Erected on Lansdowne Hill , Bath , to commemorate the heroism of Sir Bevil Grenville and his Cornish pikemen at the Battle of Lansdowne in 1643 ,"
Stanton Drew Circles and Cove,Henge,Neolithic,Parts survive,"The three circles and a stone cove near the village of Stanton Drew , are the third largest collection of prehistoric standing stones in England . The Great Circle probably consisted of 30 stones , of which 27 survive today , and was surrounded by the ditch ( now filled in ) of a henge . It lies between two smaller circles , while to the west is a cove of three stones standing in the garden of a public house"
Stoney Littleton Long Barrow,Megalithic tomb,Neolithic,Mostly complete,"A Neolithic chambered tomb with multiple burial chambers , located near the village of Wellow , Somerset . It is an example of the Severn-Cotswold tomb . The barrow is about 30m in length and stands nearly 3m high . Internally it contains a gallery with three pairs of side chambers and an end chamber"
