Name,From,To,Honours
Abdul Ghani Minhat,1970 1983,1973 1985,1 - Malaysia League ( 1984 ) 4 - Malaysia Cup ( 1971 ) ( 1972 ) ( 1973 ) ( 1984 ) 1 - Charity Shield ( 1985 ) 1 - FAM Cup ( 1972 )
M. Chandran,1975 1986,1978 1988,4 - Malaysia Cup ( 1975 ) ( 1976 ) ( 1978 ) ( 1986 ) 1 - Charity Shield ( 1987 )
Chow Kwai Lam,1979,1983,1 - Malaysia League ( 1980 ) 3 - Malaysia Cup ( 1979 ) ( 1981 ) ( 1982 )
Khaidir Buyong,1989,1990,2 - Semi-Pro Division 1 League ( 1989 ) ( 1990 ) 1 - Charity Shield ( 1990 )
Ken Worden,1991 1994 2002 2004,1991 1996 2003 2004,1 - FA Cup ( 1991 ) 3 - Malaysia Cup ( 1995 ) ( 1996 ) ( 2002 ) 2 - Charity Shield ( 1996 ) ( 2002 )
Bernhard Schumm,1993,1993,1 - Semi-Pro Division 2 League ( 1993 )
Steve Wicks,1997,1998,1 - FA Cup ( 1997 ) 1 - Malaysia Cup ( 1997 ) 1 - Charity Shield ( 1997 )
K. Rajagopal,1999,2000,1 - Premier 1 League ( 2000 )
Abdul Rahman Ibrahim,2001,2002,1 - FA Cup ( 2001 )
Dollah Salleh,2005,2008,1 - Premier League ( 2005 ) 1 - FA Cup ( 2005 ) 1 - Malaysia Cup ( 2005 )
K. Devan,2009,2011,2 - Super League ( 2009 ) ( 2010 ) 1 - FA Cup ( 2009 ) 2 - Charity Shield ( 2009 ) ( 2010 )
Mehmet Durakovic,2013,2015,1 - Malaysia Cup ( 2015 )
