Season,Player,School,Position
1982,Ray Bentley,Central Michigan,LB
1983,Tim Tyrrell,Northern Illinois,QB
1984,Brian McClure,Bowling Green,QB
1985,Brian McClure ( 2 ),Bowling Green,QB
1986,Terry Morris,Miami,QB
1987,Eric Wilkerson,Kent State,RB
1988,Tony Kimbrough,Western Michigan,QB
1989,David Riley,Ball State,QB
1990,Jeff Bender,Central Michigan,QB
1991,Erik White,Bowling Green,QB
1992,Erik White ( 2 ),Bowling Green,QB
1993,Mike Neu,Ball State,QB
1994,Brian Pruitt,Central Michigan,RB
1995,Wasean Tait,Toledo,RB
1996,Brad Maynard,Ball State,P
1997,Randy Moss,Marshall,WR
1998,Travis Prentice,Miami,RB
1999,Chad Pennington,Marshall,QB
2000,Robert Sanford,Western Michigan,RB
2001,Byron Leftwich,Marshall,QB
