Year,Winning League,Winner,Score,Finalist
1920,Texas League,Fort Worth Panthers,4-2-1,Little Rock Travelers
1921,Texas League,Fort Worth Panthers,4-2,Memphis Chicks
1922,Southern Association,Mobile Bears,4-2-1,Fort Worth Panthers
1923,Texas League,Fort Worth Panthers,4-2-1,New Orleans Pelicans
1924,Texas League,Fort Worth Panthers,4-3-1,Memphis Chicks
1925,Texas League,Fort Worth Panthers,4-2,Atlanta Crackers
1926,Texas League,Dallas Steers,4-2-1,New Orleans Pelicans
1927,Texas League,Wichita Falls Spudders,4-0,New Orleans Pelicans
1928,Texas League,Houston Buffaloes,4-2,Birmingham Barons
1929,Southern Association,Birmingham Barons,4-2,Dallas Steers
1930,Texas League,Fort Worth Panthers,4-1,Memphis Chicks
1931,Southern Association,Birmingham Barons,4-3,Houston Buffaloes
1932,Southern Association,Chattanooga Lookouts,4-1,Beaumont Exporters
1933,Southern Association,New Orleans Pelicans,4-2,San Antonio Missions
1934,Southern Association,New Orleans Pelicans,4-2,Galveston Buccaneers
1935,Texas League,Oklahoma City Indians,4-2,Atlanta Crackers
1936,Texas League,Tulsa Oilers,4-0,Birmingham Barons
1937,Texas League,Fort Worth Cats,4-1,Little Rock Travelers
1938,Southern Association,Atlanta Crackers,4-0-1,Beaumont Exporters
1939,Texas League,Fort Worth Cats,4-3,Nashville Vols
