Code,Name ( s ),Purpose,Status
E300,Ascorbic acid ( Vitamin C ),antioxidant,Approved in the EU
E301,Sodium ascorbate,antioxidant,Approved in the EU
E302,Calcium ascorbate,antioxidant,Approved in the EU
E303,Potassium ascorbate,antioxidant,
E304,Fatty acid esters of ascorbic acid ( Ascorbyl palmitate ),antioxidant,Approved in the EU
E305,Ascorbyl stearate,antioxidant,
E306,"Tocopherols ( Vitamin E , natural )",antioxidant,Approved in the EU
E307,Alpha-Tocopherol ( synthetic ),antioxidant,Approved in the EU
E308,Gamma-Tocopherol ( synthetic ),antioxidant,Approved in the EU
E309,Delta-Tocopherol ( synthetic ),antioxidant,Approved in the EU
E310,Propyl gallate,antioxidant,Approved in the EU
E311,Octyl gallate,antioxidant,Approved in the EU
E312,Dodecyl gallate,antioxidant,Approved in the EU
E313,Ethyl gallate,antioxidant,
E314,Guaiac resin,antioxidant,
E315,Erythorbic acid,antioxidant,Approved in the EU
E316,Sodium erythorbate,antioxidant,Approved in the EU
E317,Erythorbin acid,antioxidant,
E318,Sodium erythorbin,antioxidant,
E319,tert-Butylhydroquinone ( TBHQ ),antioxidant,Approved in the EU
