N,Pos,Name,Age,Since
1,GK,Raúl Fernández,34,2007
2,DF,John Galliquio,40,2009
3,DF,Carlos Galván,46,2007
4,DF,Adrián Zela,30,2010
5,MF,Antonio Gonzales,33,2006
6,MF,Rainer Torres,40,2008
7,MF,Miguel Angel Torres,38,2007
8,MF,Luis Alberto Ramírez,35,2010 ( Winter )
9,FW,Raúl Ruidíaz,29,2008 ( Winter )
10,MF,Mario Soto,32,2010
11,FW,Gianfranco Labarthe,35,2008
12,GK,Luis Llontop,34,2006
13,DF,Renzo Revoredo,33,2009
14,DF,Néstor Duarte,29,2007
15,MF,Jorge Johan Vásquez,35,2008 ( Winter )
16,DF,Yersinio Saldaña,32,2009
17,MF,Giancarlo Carmona,34,2008 ( Winter )
18,FW,Armando Alfamene,29,2009
19,FW,Carlos Orejuela,39,2009
20,MF,Luis Hernández Díaz,38,2010 ( Winter )
